縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,南投市,中古屋,26163.87,104,101年第四季
南投縣,南投市,新成屋,58074.62,8,101年第四季
南投縣,名間鄉,中古屋,25801.0,8,101年第四季
南投縣,國姓鄉,中古屋,16423.2,5,101年第四季
南投縣,埔里鎮,中古屋,30931.02,93,101年第四季
南投縣,埔里鎮,新成屋,39683.38,8,101年第四季
南投縣,水里鄉,中古屋,23448.0,7,101年第四季
南投縣,水里鄉,新成屋,37894.0,1,101年第四季
南投縣,竹山鎮,中古屋,20316.17,24,101年第四季
南投縣,竹山鎮,新成屋,31440.5,2,101年第四季
南投縣,草屯鎮,中古屋,24007.0,28,101年第四季
南投縣,草屯鎮,新成屋,45632.0,1,101年第四季
南投縣,集集鎮,中古屋,20695.75,4,101年第四季
南投縣,集集鎮,新成屋,28201.0,3,101年第四季
南投縣,魚池鄉,中古屋,30056.5,2,101年第四季
南投縣,鹿谷鄉,中古屋,23282.0,6,101年第四季
台中市,中區,中古屋,19565.5,22,101年第四季
台中市,北區,中古屋,35464.99,926,101年第四季
台中市,北區,新成屋,34195.42,121,101年第四季
台中市,北屯區,中古屋,33691.46,1077,101年第四季
台中市,北屯區,新成屋,42479.07,804,101年第四季
台中市,南區,中古屋,31162.79,767,101年第四季
台中市,南區,新成屋,50301.27,134,101年第四季
台中市,南屯區,中古屋,42623.17,662,101年第四季
台中市,南屯區,新成屋,66784.98,151,101年第四季
台中市,后里區,中古屋,30707.06,17,101年第四季
台中市,后里區,新成屋,38449.4,5,101年第四季
台中市,外埔區,中古屋,29218.89,9,101年第四季
台中市,大安區,中古屋,19357.67,3,101年第四季
台中市,大甲區,中古屋,31269.54,24,101年第四季
台中市,大甲區,新成屋,32401.05,19,101年第四季
台中市,大肚區,中古屋,19539.5,44,101年第四季
台中市,大肚區,新成屋,38887.14,7,101年第四季
台中市,大里區,中古屋,31765.79,444,101年第四季
台中市,大里區,新成屋,42299.41,29,101年第四季
台中市,大雅區,中古屋,26990.41,120,101年第四季
台中市,大雅區,新成屋,40116.0,1,101年第四季
台中市,太平區,中古屋,27307.33,418,101年第四季
台中市,太平區,新成屋,52956.25,57,101年第四季
台中市,新社區,中古屋,21549.33,3,101年第四季
台中市,東勢區,中古屋,21378.82,22,101年第四季
台中市,東勢區,新成屋,29572.5,2,101年第四季
台中市,東區,中古屋,33179.92,133,101年第四季
台中市,東區,新成屋,56008.4,5,101年第四季
台中市,梧棲區,中古屋,22862.14,29,101年第四季
台中市,梧棲區,新成屋,43401.0,1,101年第四季
台中市,沙鹿區,中古屋,29401.39,99,101年第四季
台中市,沙鹿區,新成屋,38426.36,107,101年第四季
台中市,清水區,中古屋,20728.72,96,101年第四季
台中市,清水區,新成屋,27384.63,19,101年第四季
台中市,潭子區,中古屋,31130.93,261,101年第四季
