縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,60852,1,114年第二季
南投縣,南投市,中古屋,34469.5,6,114年第二季
南投縣,南投市,新成屋,99993.87,15,114年第二季
南投縣,埔里鎮,中古屋,51622.67,3,114年第二季
南投縣,埔里鎮,新成屋,93319.67,6,114年第二季
南投縣,竹山鎮,中古屋,36283.67,3,114年第二季
南投縣,竹山鎮,新成屋,69974,1,114年第二季
南投縣,草屯鎮,中古屋,48236.18,11,114年第二季
南投縣,草屯鎮,新成屋,84014,2,114年第二季
南投縣,集集鎮,新成屋,75594,1,114年第二季
台中市,北區,中古屋,78906.55,82,114年第二季
台中市,北屯區,中古屋,83950.3,81,114年第二季
台中市,北屯區,新成屋,119270,36,114年第二季
台中市,南區,中古屋,78853.38,24,114年第二季
台中市,南區,新成屋,125484.25,8,114年第二季
台中市,南屯區,中古屋,96059.14,42,114年第二季
台中市,南屯區,新成屋,122703,8,114年第二季
台中市,后里區,中古屋,142461,4,114年第二季
台中市,大甲區,中古屋,82959.67,3,114年第二季
台中市,大甲區,新成屋,81297,1,114年第二季
台中市,大肚區,中古屋,54031,1,114年第二季
台中市,大里區,中古屋,68345.2,30,114年第二季
台中市,大里區,新成屋,109700.67,3,114年第二季
台中市,大雅區,中古屋,51733.17,12,114年第二季
台中市,太平區,中古屋,75683.65,26,114年第二季
台中市,太平區,新成屋,109298.8,10,114年第二季
台中市,東勢區,中古屋,91212,1,114年第二季
台中市,東勢區,新成屋,60510,2,114年第二季
台中市,東區,中古屋,55433.12,8,114年第二季
台中市,沙鹿區,中古屋,91055.25,16,114年第二季
台中市,沙鹿區,新成屋,100725.8,5,114年第二季
台中市,潭子區,中古屋,72362.81,16,114年第二季
台中市,烏日區,中古屋,93391.33,6,114年第二季
台中市,烏日區,新成屋,123380,4,114年第二季
台中市,神岡區,中古屋,112429,1,114年第二季
台中市,西區,中古屋,88238.95,19,114年第二季
台中市,西區,新成屋,126483,2,114年第二季
台中市,西屯區,中古屋,90171.96,57,114年第二季
台中市,西屯區,新成屋,120702.25,8,114年第二季
台中市,豐原區,中古屋,79711.75,4,114年第二季
台中市,豐原區,新成屋,103586,6,114年第二季
台中市,霧峰區,中古屋,41765.2,5,114年第二季
台中市,龍井區,中古屋,52672.67,3,114年第二季
台中市,龍井區,新成屋,102405,5,114年第二季
台北市,中山區,中古屋,243915.66,29,114年第二季
台北市,中山區,新成屋,291287,2,114年第二季
台北市,中正區,中古屋,246177.62,24,114年第二季
台北市,中正區,新成屋,445229.5,6,114年第二季
台北市,信義區,中古屋,285144.87,31,114年第二季
台北市,內湖區,中古屋,189495.96,45,114年第二季
台北市,北投區,中古屋,166282.4,50,114年第二季
台北市,北投區,新成屋,240603,4,114年第二季
台北市,南港區,中古屋,268148.95,21,114年第二季
台北市,士林區,中古屋,174761.77,35,114年第二季
台北市,士林區,新成屋,342481,8,114年第二季
台北市,大同區,中古屋,282716,3,114年第二季
台北市,大安區,中古屋,306364.91,57,114年第二季
台北市,大安區,新成屋,576656,4,114年第二季
台北市,文山區,中古屋,182066.17,76,114年第二季
台北市,文山區,新成屋,240055,3,114年第二季
台北市,松山區,中古屋,231283.25,32,114年第二季
台北市,松山區,新成屋,324043,3,114年第二季
台北市,萬華區,中古屋,145124.79,14,114年第二季
台南市,中西區,中古屋,73221.31,13,114年第二季
台南市,仁德區,中古屋,52906.74,19,114年第二季
台南市,仁德區,新成屋,90435,6,114年第二季
台南市,佳里區,中古屋,46280,3,114年第二季
台南市,北區,中古屋,91373.28,18,114年第二季
台南市,北區,新成屋,138149,1,114年第二季
台南市,南區,中古屋,57897.87,30,114年第二季
台南市,南區,新成屋,77695.5,4,114年第二季
台南市,善化區,中古屋,78922.8,5,114年第二季
台南市,學甲區,新成屋,72886,2,114年第二季
台南市,安南區,中古屋,50103.08,26,114年第二季
台南市,安南區,新成屋,72072.2,5,114年第二季
台南市,安平區,中古屋,58267.25,24,114年第二季
台南市,安平區,新成屋,102800,2,114年第二季
台南市,官田區,中古屋,31869,1,114年第二季
台南市,後壁區,中古屋,20792,1,114年第二季
台南市,新市區,中古屋,60296,3,114年第二季
台南市,新市區,新成屋,107034,2,114年第二季
台南市,新營區,中古屋,50510.22,9,114年第二季
台南市,新營區,新成屋,84546.6,5,114年第二季
台南市,東區,中古屋,79438.39,70,114年第二季
台南市,東區,新成屋,140863.4,5,114年第二季
台南市,柳營區,中古屋,24726,1,114年第二季
台南市,歸仁區,中古屋,150,1,114年第二季
台南市,歸仁區,新成屋,72285.78,9,114年第二季
台南市,永康區,中古屋,59424.82,100,114年第二季
台南市,永康區,新成屋,43331,4,114年第二季
台南市,關廟區,中古屋,78001,1,114年第二季
台南市,鹽水區,新成屋,126,1,114年第二季
台南市,麻豆區,中古屋,29079,2,114年第二季
台東縣,台東市,中古屋,60168.5,8,114年第二季
台東縣,東河鄉,中古屋,49031,1,114年第二季
嘉義市,嘉義市,中古屋,61850.48,62,114年第二季
