縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,18382.0,1,108年第二季
南投縣,南投市,中古屋,33072.13,114,108年第二季
南投縣,南投市,新成屋,62134.71,24,108年第二季
南投縣,名間鄉,中古屋,80255.6,5,108年第二季
南投縣,國姓鄉,中古屋,32635.0,1,108年第二季
南投縣,埔里鎮,中古屋,36008.14,58,108年第二季
南投縣,埔里鎮,新成屋,64606.25,4,108年第二季
南投縣,水里鄉,中古屋,29552.5,8,108年第二季
南投縣,竹山鎮,中古屋,24080.97,30,108年第二季
南投縣,竹山鎮,新成屋,41458.5,14,108年第二季
南投縣,草屯鎮,中古屋,39951.02,86,108年第二季
南投縣,草屯鎮,新成屋,51917.84,25,108年第二季
南投縣,集集鎮,中古屋,31989.18,11,108年第二季
南投縣,魚池鄉,中古屋,45334.5,2,108年第二季
南投縣,鹿谷鄉,中古屋,31014.0,4,108年第二季
台中市,中區,中古屋,34640.33,6,108年第二季
台中市,北區,中古屋,48051.89,1016,108年第二季
台中市,北區,新成屋,78451.35,46,108年第二季
台中市,北屯區,中古屋,50825.04,1370,108年第二季
台中市,北屯區,新成屋,60980.73,614,108年第二季
台中市,南區,中古屋,48603.59,871,108年第二季
台中市,南區,新成屋,68545.91,212,108年第二季
台中市,南屯區,中古屋,60625.64,994,108年第二季
台中市,南屯區,新成屋,85717.42,570,108年第二季
台中市,后里區,中古屋,51671.38,16,108年第二季
台中市,后里區,新成屋,58312.44,9,108年第二季
台中市,外埔區,中古屋,33904.22,9,108年第二季
台中市,大安區,中古屋,46773.67,3,108年第二季
台中市,大甲區,中古屋,50510.14,43,108年第二季
台中市,大甲區,新成屋,60101.33,9,108年第二季
台中市,大肚區,中古屋,37410.33,48,108年第二季
台中市,大肚區,新成屋,52628.0,3,108年第二季
台中市,大里區,中古屋,43884.71,430,108年第二季
台中市,大里區,新成屋,69090.4,119,108年第二季
台中市,大雅區,中古屋,41482.63,146,108年第二季
台中市,大雅區,新成屋,59978.46,26,108年第二季
台中市,太平區,中古屋,47948.18,439,108年第二季
台中市,太平區,新成屋,58405.79,177,108年第二季
台中市,新社區,中古屋,26113.0,3,108年第二季
台中市,東勢區,中古屋,34125.27,22,108年第二季
台中市,東勢區,新成屋,44408.0,4,108年第二季
台中市,東區,中古屋,54110.78,215,108年第二季
台中市,東區,新成屋,64112.03,67,108年第二季
台中市,梧棲區,中古屋,31697.17,48,108年第二季
台中市,梧棲區,新成屋,50148.06,35,108年第二季
台中市,沙鹿區,中古屋,47093.46,157,108年第二季
台中市,沙鹿區,新成屋,62666.78,80,108年第二季
台中市,清水區,中古屋,34353.94,51,108年第二季
台中市,清水區,新成屋,47685.79,34,108年第二季
台中市,潭子區,中古屋,48223.78,302,108年第二季
台中市,潭子區,新成屋,63042.03,29,108年第二季
台中市,烏日區,中古屋,47262.19,109,108年第二季
台中市,烏日區,新成屋,54826.34,136,108年第二季
台中市,石岡區,中古屋,47056.0,1,108年第二季
台中市,神岡區,中古屋,42781.85,47,108年第二季
台中市,神岡區,新成屋,74892.42,12,108年第二季
台中市,西區,中古屋,48875.29,853,108年第二季
台中市,西區,新成屋,69634.93,28,108年第二季
台中市,西屯區,中古屋,55045.84,1510,108年第二季
台中市,西屯區,新成屋,92634.29,288,108年第二季
台中市,豐原區,中古屋,49045.6,276,108年第二季
台中市,豐原區,新成屋,61647.26,47,108年第二季
台中市,霧峰區,中古屋,38801.86,37,108年第二季
台中市,霧峰區,新成屋,39021.5,8,108年第二季
台中市,龍井區,中古屋,43797.28,167,108年第二季
台中市,龍井區,新成屋,61088.97,29,108年第二季
台北市,中山區,中古屋,117296.15,606,108年第二季
台北市,中山區,新成屋,111586.48,81,108年第二季
台北市,中正區,中古屋,155851.08,277,108年第二季
台北市,中正區,新成屋,177848.28,87,108年第二季
台北市,信義區,中古屋,145028.9,492,108年第二季
台北市,信義區,新成屋,209499.75,106,108年第二季
台北市,內湖區,中古屋,122785.08,1054,108年第二季
台北市,內湖區,新成屋,181822.57,156,108年第二季
台北市,北投區,中古屋,116320.24,739,108年第二季
台北市,北投區,新成屋,159443.75,339,108年第二季
台北市,南港區,中古屋,135842.19,312,108年第二季
台北市,南港區,新成屋,145726.0,64,108年第二季
台北市,士林區,中古屋,121303.11,786,108年第二季
台北市,士林區,新成屋,197187.09,67,108年第二季
