縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,27839.0,2,105年第二季
南投縣,南投市,中古屋,34005.84,51,105年第二季
南投縣,南投市,新成屋,52520.71,14,105年第二季
南投縣,名間鄉,中古屋,33025.0,2,105年第二季
南投縣,國姓鄉,中古屋,29928.67,3,105年第二季
南投縣,埔里鎮,中古屋,31732.28,32,105年第二季
南投縣,埔里鎮,新成屋,45112.5,2,105年第二季
南投縣,水里鄉,中古屋,20123.0,1,105年第二季
南投縣,竹山鎮,中古屋,20995.7,37,105年第二季
南投縣,竹山鎮,新成屋,37068.33,3,105年第二季
南投縣,草屯鎮,中古屋,30543.0,61,105年第二季
南投縣,草屯鎮,新成屋,45012.5,8,105年第二季
南投縣,集集鎮,中古屋,24912.33,3,105年第二季
南投縣,鹿谷鄉,中古屋,39569.0,1,105年第二季
台中市,中區,中古屋,35082.36,14,105年第二季
台中市,中區,新成屋,67784.0,2,105年第二季
台中市,北區,中古屋,45145.5,624,105年第二季
台中市,北區,新成屋,79872.96,26,105年第二季
台中市,北屯區,中古屋,45135.33,838,105年第二季
台中市,北屯區,新成屋,55148.51,293,105年第二季
台中市,南區,中古屋,42350.81,418,105年第二季
台中市,南區,新成屋,71197.91,298,105年第二季
台中市,南屯區,中古屋,49633.28,559,105年第二季
台中市,南屯區,新成屋,74542.26,122,105年第二季
台中市,后里區,中古屋,35768.54,13,105年第二季
台中市,后里區,新成屋,51956.11,9,105年第二季
台中市,外埔區,中古屋,24972.33,3,105年第二季
台中市,外埔區,新成屋,39062.33,3,105年第二季
台中市,大安區,中古屋,27142.0,3,105年第二季
台中市,大甲區,中古屋,39154.16,19,105年第二季
台中市,大甲區,新成屋,60605.25,4,105年第二季
台中市,大肚區,中古屋,34861.13,15,105年第二季
台中市,大肚區,新成屋,54265.0,4,105年第二季
台中市,大里區,中古屋,40683.79,221,105年第二季
台中市,大里區,新成屋,60495.87,47,105年第二季
台中市,大雅區,中古屋,36360.19,93,105年第二季
台中市,大雅區,新成屋,80300.6,15,105年第二季
台中市,太平區,中古屋,37521.53,279,105年第二季
台中市,太平區,新成屋,59367.61,112,105年第二季
台中市,新社區,中古屋,42411.0,1,105年第二季
台中市,新社區,新成屋,44655.0,1,105年第二季
台中市,東勢區,中古屋,24084.85,20,105年第二季
台中市,東區,中古屋,43539.16,118,105年第二季
台中市,東區,新成屋,60605.74,19,105年第二季
台中市,梧棲區,中古屋,31943.97,35,105年第二季
台中市,梧棲區,新成屋,46315.1,29,105年第二季
台中市,沙鹿區,中古屋,37463.87,131,105年第二季
台中市,沙鹿區,新成屋,54443.86,80,105年第二季
台中市,清水區,中古屋,32700.8,25,105年第二季
台中市,清水區,新成屋,48851.15,13,105年第二季
台中市,潭子區,中古屋,41027.47,209,105年第二季
台中市,潭子區,新成屋,53751.85,13,105年第二季
台中市,烏日區,中古屋,44346.03,37,105年第二季
台中市,烏日區,新成屋,59103.07,29,105年第二季
台中市,石岡區,中古屋,78467.0,1,105年第二季
台中市,神岡區,中古屋,37473.09,34,105年第二季
台中市,神岡區,新成屋,62092.0,7,105年第二季
台中市,西區,中古屋,40869.32,560,105年第二季
台中市,西區,新成屋,104675.98,43,105年第二季
台中市,西屯區,中古屋,50690.62,814,105年第二季
台中市,西屯區,新成屋,62913.16,157,105年第二季
台中市,豐原區,中古屋,48731.51,122,105年第二季
台中市,豐原區,新成屋,58640.16,31,105年第二季
台中市,霧峰區,中古屋,34100.89,44,105年第二季
台中市,霧峰區,新成屋,44680.44,36,105年第二季
台中市,龍井區,中古屋,39648.57,54,105年第二季
台中市,龍井區,新成屋,56103.5,14,105年第二季
台北市,中山區,中古屋,95597.46,520,105年第二季
台北市,中山區,新成屋,114257.74,78,105年第二季
