縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,南投市,中古屋,33696.42,104,107年第一季
南投縣,南投市,新成屋,65896.55,20,107年第一季
南投縣,名間鄉,中古屋,26393.0,1,107年第一季
南投縣,國姓鄉,中古屋,28986.8,5,107年第一季
南投縣,埔里鎮,中古屋,38932.45,86,107年第一季
南投縣,埔里鎮,新成屋,59104.44,9,107年第一季
南投縣,水里鄉,中古屋,26055.0,5,107年第一季
南投縣,竹山鎮,中古屋,21111.29,35,107年第一季
南投縣,竹山鎮,新成屋,44059.67,3,107年第一季
南投縣,草屯鎮,中古屋,34753.74,94,107年第一季
南投縣,草屯鎮,新成屋,52592.49,35,107年第一季
南投縣,集集鎮,中古屋,29366.0,4,107年第一季
南投縣,集集鎮,新成屋,36040.75,4,107年第一季
南投縣,魚池鄉,中古屋,56493.67,3,107年第一季
南投縣,鹿谷鄉,中古屋,33273.78,9,107年第一季
台中市,中區,中古屋,22963.78,32,107年第一季
台中市,北區,中古屋,48516.44,1073,107年第一季
台中市,北區,新成屋,82111.12,43,107年第一季
台中市,北屯區,中古屋,48654.08,1383,107年第一季
台中市,北屯區,新成屋,63299.49,783,107年第一季
台中市,南區,中古屋,49002.11,957,107年第一季
台中市,南區,新成屋,67209.97,293,107年第一季
台中市,南屯區,中古屋,60126.66,971,107年第一季
台中市,南屯區,新成屋,81250.73,325,107年第一季
台中市,后里區,中古屋,56863.16,19,107年第一季
台中市,后里區,新成屋,57976.54,37,107年第一季
台中市,外埔區,中古屋,35329.75,8,107年第一季
台中市,大安區,新成屋,41019.0,1,107年第一季
台中市,大甲區,中古屋,48904.84,62,107年第一季
台中市,大甲區,新成屋,50567.11,19,107年第一季
台中市,大肚區,中古屋,36440.97,38,107年第一季
台中市,大肚區,新成屋,51341.33,6,107年第一季
台中市,大里區,中古屋,44783.74,400,107年第一季
台中市,大里區,新成屋,66035.96,135,107年第一季
台中市,大雅區,中古屋,40389.55,145,107年第一季
台中市,大雅區,新成屋,55187.19,27,107年第一季
台中市,太平區,中古屋,43425.62,403,107年第一季
台中市,太平區,新成屋,58033.62,305,107年第一季
台中市,新社區,中古屋,38335.5,2,107年第一季
台中市,新社區,新成屋,52658.0,1,107年第一季
台中市,東勢區,中古屋,34013.82,40,107年第一季
台中市,東勢區,新成屋,51310.44,9,107年第一季
台中市,東區,中古屋,43063.43,192,107年第一季
台中市,東區,新成屋,58508.12,128,107年第一季
台中市,梧棲區,中古屋,30120.07,42,107年第一季
台中市,梧棲區,新成屋,51812.22,40,107年第一季
台中市,沙鹿區,中古屋,42505.2,192,107年第一季
台中市,沙鹿區,新成屋,58342.11,206,107年第一季
台中市,清水區,中古屋,30600.77,86,107年第一季
台中市,清水區,新成屋,47000.35,153,107年第一季
台中市,潭子區,中古屋,48040.23,262,107年第一季
台中市,潭子區,新成屋,70867.79,62,107年第一季
台中市,烏日區,中古屋,42296.58,113,107年第一季
台中市,烏日區,新成屋,56767.91,78,107年第一季
台中市,石岡區,中古屋,42033.25,4,107年第一季
台中市,神岡區,中古屋,45745.4,53,107年第一季
台中市,神岡區,新成屋,73863.62,8,107年第一季
台中市,西區,中古屋,51468.15,838,107年第一季
台中市,西區,新成屋,136532.81,26,107年第一季
