縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,南投市,中古屋,55436.29,83,113年第四季
南投縣,南投市,新成屋,82251.06,16,113年第四季
南投縣,名間鄉,中古屋,42916.43,7,113年第四季
南投縣,國姓鄉,中古屋,57510.75,4,113年第四季
南投縣,國姓鄉,新成屋,63249,3,113年第四季
南投縣,埔里鎮,中古屋,50588.5,64,113年第四季
南投縣,埔里鎮,新成屋,70208.54,13,113年第四季
南投縣,水里鄉,中古屋,35039,2,113年第四季
南投縣,竹山鎮,中古屋,40332.45,51,113年第四季
南投縣,竹山鎮,新成屋,63465.83,6,113年第四季
南投縣,草屯鎮,中古屋,51594.95,87,113年第四季
南投縣,草屯鎮,新成屋,88820.2,15,113年第四季
南投縣,集集鎮,中古屋,36140,4,113年第四季
南投縣,鹿谷鄉,中古屋,38727,3,113年第四季
南投縣,鹿谷鄉,新成屋,72170,11,113年第四季
台中市,中區,中古屋,96,2,113年第四季
台中市,北區,中古屋,82240.56,713,113年第四季
台中市,北區,新成屋,123096,2,113年第四季
台中市,北屯區,中古屋,87640.54,1099,113年第四季
台中市,北屯區,新成屋,109886.06,237,113年第四季
台中市,南區,中古屋,86274.11,552,113年第四季
台中市,南區,新成屋,84048.79,19,113年第四季
台中市,南屯區,中古屋,94817.21,804,113年第四季
台中市,南屯區,新成屋,120655.08,105,113年第四季
台中市,后里區,中古屋,73694.05,21,113年第四季
台中市,后里區,新成屋,66918,1,113年第四季
台中市,外埔區,中古屋,66099,1,113年第四季
台中市,大甲區,中古屋,62341.52,40,113年第四季
台中市,大甲區,新成屋,72865,19,113年第四季
台中市,大肚區,中古屋,55056.27,26,113年第四季
台中市,大肚區,新成屋,78890,1,113年第四季
台中市,大里區,中古屋,72977.97,226,113年第四季
台中市,大里區,新成屋,97306.22,40,113年第四季
台中市,大雅區,中古屋,80821.36,88,113年第四季
台中市,大雅區,新成屋,86210.85,13,113年第四季
台中市,太平區,中古屋,80330.51,345,113年第四季
台中市,太平區,新成屋,116507.67,125,113年第四季
台中市,新社區,中古屋,44997,1,113年第四季
台中市,新社區,新成屋,99073,1,113年第四季
台中市,東勢區,中古屋,42839.39,18,113年第四季
台中市,東勢區,新成屋,74075.67,9,113年第四季
台中市,東區,中古屋,98259.74,156,113年第四季
台中市,東區,新成屋,107412.5,22,113年第四季
台中市,梧棲區,中古屋,52873.18,45,113年第四季
台中市,梧棲區,新成屋,77229.13,23,113年第四季
台中市,沙鹿區,中古屋,91064.82,141,113年第四季
台中市,沙鹿區,新成屋,93101.08,64,113年第四季
台中市,清水區,中古屋,50013,58,113年第四季
台中市,清水區,新成屋,74845.21,42,113年第四季
台中市,潭子區,中古屋,88716.52,176,113年第四季
台中市,潭子區,新成屋,85714.17,18,113年第四季
台中市,烏日區,中古屋,78215.48,120,113年第四季
台中市,烏日區,新成屋,82642.88,33,113年第四季
台中市,石岡區,中古屋,73505,1,113年第四季
台中市,神岡區,中古屋,70574.33,36,113年第四季
台中市,神岡區,新成屋,96988,16,113年第四季
台中市,西區,中古屋,82490.7,458,113年第四季
台中市,西區,新成屋,112176.17,18,113年第四季
台中市,西屯區,中古屋,89372.9,995,113年第四季
台中市,西屯區,新成屋,133253.25,65,113年第四季
台中市,豐原區,中古屋,119018.52,157,113年第四季
台中市,豐原區,新成屋,98786.63,30,113年第四季
台中市,霧峰區,中古屋,62601.21,14,113年第四季
台中市,龍井區,中古屋,58214.08,95,113年第四季
台中市,龍井區,新成屋,93718.53,19,113年第四季
台北市,中山區,中古屋,238905.77,393,113年第四季
台北市,中山區,新成屋,303943.84,19,113年第四季
台北市,中正區,中古屋,266354.07,235,113年第四季
台北市,中正區,新成屋,389544.16,25,113年第四季
台北市,信義區,中古屋,269114.25,399,113年第四季
台北市,信義區,新成屋,340362.91,33,113年第四季
台北市,內湖區,中古屋,202684.07,748,113年第四季
台北市,內湖區,新成屋,237930,28,113年第四季
台北市,北投區,中古屋,171520.92,414,113年第四季
台北市,北投區,新成屋,230979.3,44,113年第四季
台北市,南港區,中古屋,215357.99,224,113年第四季
台北市,南港區,新成屋,249802.48,29,113年第四季
台北市,士林區,中古屋,190439.83,466,113年第四季
台北市,士林區,新成屋,300857.39,46,113年第四季
台北市,大同區,中古屋,192969.91,102,113年第四季
台北市,大同區,新成屋,265356.73,11,113年第四季
台北市,大安區,中古屋,320125.99,571,113年第四季
台北市,大安區,新成屋,454240.38,24,113年第四季
台北市,文山區,中古屋,172611.57,614,113年第四季
台北市,文山區,新成屋,238860.25,16,113年第四季
台北市,松山區,中古屋,240994.52,328,113年第四季
台北市,松山區,新成屋,522072.75,24,113年第四季
台北市,萬華區,中古屋,169042.21,202,113年第四季
台北市,萬華區,新成屋,203545.47,36,113年第四季
台南市,七股區,中古屋,44694,2,113年第四季
台南市,下營區,中古屋,40376.5,2,113年第四季
台南市,下營區,新成屋,82960,1,113年第四季
台南市,中西區,中古屋,74976.62,143,113年第四季
台南市,中西區,新成屋,111239.71,7,113年第四季
台南市,仁德區,中古屋,56138.99,143,113年第四季
台南市,仁德區,新成屋,84020.16,19,113年第四季
台南市,佳里區,中古屋,47334.48,33,113年第四季
台南市,佳里區,新成屋,75264.96,24,113年第四季
台南市,六甲區,中古屋,47578.33,3,113年第四季
台南市,六甲區,新成屋,73046.71,7,113年第四季
台南市,北區,中古屋,100210.03,266,113年第四季
台南市,北區,新成屋,120700.12,32,113年第四季
台南市,北門區,中古屋,4077,1,113年第四季
台南市,南區,中古屋,59161.66,299,113年第四季
台南市,南區,新成屋,91771.54,61,113年第四季
台南市,善化區,中古屋,85279.22,54,113年第四季
台南市,善化區,新成屋,113620.46,39,113年第四季
台南市,大內區,中古屋,52332,1,113年第四季
台南市,學甲區,中古屋,34481.5,6,113年第四季
台南市,學甲區,新成屋,72217.69,13,113年第四季
台南市,安南區,中古屋,54142.49,489,113年第四季
台南市,安南區,新成屋,92956.65,166,113年第四季
台南市,安定區,新成屋,82366,1,113年第四季
台南市,安平區,中古屋,68737.62,275,113年第四季
台南市,安平區,新成屋,101796.13,38,113年第四季
台南市,官田區,中古屋,41668.4,5,113年第四季
台南市,官田區,新成屋,75884.6,5,113年第四季
台南市,將軍區,中古屋,31221.5,2,113年第四季
台南市,山上區,新成屋,71783,2,113年第四季
台南市,後壁區,中古屋,30596,1,113年第四季
台南市,新化區,中古屋,54018.33,24,113年第四季
台南市,新化區,新成屋,56795,9,113年第四季
台南市,新市區,中古屋,76310.89,36,113年第四季
台南市,新市區,新成屋,102644.25,12,113年第四季
台南市,新營區,中古屋,41672.37,86,113年第四季
台南市,新營區,新成屋,73295.88,24,113年第四季
台南市,東區,中古屋,71855.16,556,113年第四季
台南市,東區,新成屋,111614.94,32,113年第四季
台南市,東山區,中古屋,28648.33,3,113年第四季
台南市,東山區,新成屋,57654.67,3,113年第四季
台南市,柳營區,中古屋,36798.25,4,113年第四季
台南市,柳營區,新成屋,67710,1,113年第四季
台南市,楠西區,中古屋,34691,4,113年第四季
台南市,歸仁區,中古屋,57510.91,55,113年第四季
台南市,歸仁區,新成屋,91180.02,61,113年第四季
台南市,永康區,中古屋,60978.88,706,113年第四季
台南市,永康區,新成屋,69913.15,130,113年第四季
台南市,玉井區,中古屋,27432,4,113年第四季
台南市,玉井區,新成屋,63303.57,14,113年第四季
台南市,白河區,中古屋,52075.12,24,113年第四季
台南市,白河區,新成屋,65916.67,3,113年第四季
台南市,西港區,中古屋,43636.38,8,113年第四季
台南市,西港區,新成屋,35600.5,4,113年第四季
台南市,關廟區,中古屋,33019.22,9,113年第四季
台南市,關廟區,新成屋,55788.4,10,113年第四季
台南市,鹽水區,中古屋,33963.68,25,113年第四季
台南市,鹽水區,新成屋,35231,2,113年第四季
台南市,麻豆區,中古屋,55589.65,20,113年第四季
台南市,麻豆區,新成屋,82037.45,11,113年第四季
台東縣,卑南鄉,中古屋,13892,4,113年第四季
台東縣,台東市,中古屋,49372.38,264,113年第四季
台東縣,台東市,新成屋,71594.08,12,113年第四季
台東縣,太麻里鄉,中古屋,43852,1,113年第四季
台東縣,成功鎮,中古屋,38903.75,8,113年第四季
台東縣,東河鄉,中古屋,66626,2,113年第四季
台東縣,池上鄉,中古屋,42349.83,6,113年第四季
台東縣,關山鎮,中古屋,57758.5,2,113年第四季
台東縣,關山鎮,新成屋,74392,2,113年第四季
台東縣,鹿野鄉,中古屋,42592,1,113年第四季
嘉義市,嘉義市,中古屋,59625.36,602,113年第四季
嘉義市,嘉義市,新成屋,94626.27,51,113年第四季
嘉義縣,中埔鄉,中古屋,64199.83,24,113年第四季
嘉義縣,六腳鄉,中古屋,63925,2,113年第四季
嘉義縣,大埔鄉,中古屋,21599.5,2,113年第四季
嘉義縣,大林鎮,中古屋,37864.77,22,113年第四季
嘉義縣,大林鎮,新成屋,92559.33,9,113年第四季
嘉義縣,太保市,中古屋,54863.31,54,113年第四季
嘉義縣,太保市,新成屋,84574.5,2,113年第四季
嘉義縣,布袋鎮,中古屋,23560.83,6,113年第四季
嘉義縣,新港鄉,中古屋,82561.12,8,113年第四季
嘉義縣,朴子市,中古屋,53454.14,59,113年第四季
嘉義縣,朴子市,新成屋,121024.5,2,113年第四季
嘉義縣,梅山鄉,中古屋,28784.75,4,113年第四季
嘉義縣,梅山鄉,新成屋,45210,1,113年第四季
嘉義縣,民雄鄉,中古屋,49311.65,49,113年第四季
嘉義縣,民雄鄉,新成屋,75794,1,113年第四季
嘉義縣,水上鄉,中古屋,54232.38,8,113年第四季
嘉義縣,溪口鄉,中古屋,49573.5,2,113年第四季
嘉義縣,番路鄉,中古屋,42068.29,31,113年第四季
嘉義縣,竹崎鄉,中古屋,339980,2,113年第四季
嘉義縣,義竹鄉,中古屋,23427.33,3,113年第四季
嘉義縣,鹿草鄉,中古屋,38157,3,113年第四季
基隆市,七堵區,中古屋,71936.9,130,113年第四季
基隆市,七堵區,新成屋,86072.5,8,113年第四季
基隆市,中山區,中古屋,60764.38,58,113年第四季
基隆市,中山區,新成屋,172,2,113年第四季
基隆市,中正區,中古屋,57749.71,371,113年第四季
基隆市,中正區,新成屋,79918.31,16,113年第四季
基隆市,仁愛區,中古屋,63039.26,42,113年第四季
基隆市,信義區,中古屋,63072.67,214,113年第四季
基隆市,信義區,新成屋,70297.4,5,113年第四季
基隆市,安樂區,中古屋,62776.75,513,113年第四季
基隆市,安樂區,新成屋,79129.27,117,113年第四季
基隆市,暖暖區,中古屋,53176.34,197,113年第四季
基隆市,暖暖區,新成屋,79015,4,113年第四季
宜蘭縣,三星鄉,中古屋,44436,2,113年第四季
宜蘭縣,三星鄉,新成屋,61568,1,113年第四季
宜蘭縣,五結鄉,中古屋,51535,42,113年第四季
宜蘭縣,五結鄉,新成屋,79571.5,6,113年第四季
宜蘭縣,冬山鄉,中古屋,70547.76,17,113年第四季
宜蘭縣,南澳鄉,中古屋,36260,1,113年第四季
宜蘭縣,員山鄉,中古屋,48049.57,7,113年第四季
宜蘭縣,員山鄉,新成屋,65863,2,113年第四季
宜蘭縣,宜蘭市,中古屋,70784.64,252,113年第四季
