縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,100710.0,1,108年第三季
南投縣,南投市,中古屋,39297.1,96,108年第三季
南投縣,南投市,新成屋,60450.47,32,108年第三季
南投縣,名間鄉,中古屋,33519.0,2,108年第三季
南投縣,國姓鄉,中古屋,27726.67,3,108年第三季
南投縣,埔里鎮,中古屋,31472.25,85,108年第三季
南投縣,埔里鎮,新成屋,60544.0,4,108年第三季
南投縣,水里鄉,中古屋,21569.67,3,108年第三季
南投縣,竹山鎮,中古屋,24174.25,60,108年第三季
南投縣,竹山鎮,新成屋,42736.76,17,108年第三季
南投縣,草屯鎮,中古屋,36927.92,88,108年第三季
南投縣,草屯鎮,新成屋,52835.06,49,108年第三季
南投縣,集集鎮,中古屋,25126.5,4,108年第三季
南投縣,魚池鄉,中古屋,30692.0,2,108年第三季
南投縣,鹿谷鄉,中古屋,30032.0,3,108年第三季
台中市,中區,中古屋,34664.1,20,108年第三季
台中市,北區,中古屋,51401.67,1195,108年第三季
台中市,北區,新成屋,80022.58,52,108年第三季
台中市,北屯區,中古屋,52276.58,1490,108年第三季
台中市,北屯區,新成屋,65099.65,721,108年第三季
台中市,南區,中古屋,49873.25,935,108年第三季
台中市,南區,新成屋,59797.69,214,108年第三季
台中市,南屯區,中古屋,61864.97,1191,108年第三季
台中市,南屯區,新成屋,85510.66,578,108年第三季
台中市,后里區,中古屋,71521.75,16,108年第三季
台中市,后里區,新成屋,65625.33,6,108年第三季
台中市,外埔區,中古屋,33178.8,5,108年第三季
台中市,外埔區,新成屋,50836.0,2,108年第三季
台中市,大甲區,中古屋,49262.88,42,108年第三季
台中市,大甲區,新成屋,53173.71,7,108年第三季
台中市,大肚區,中古屋,33811.45,22,108年第三季
台中市,大肚區,新成屋,37355.33,3,108年第三季
台中市,大里區,中古屋,44554.72,502,108年第三季
台中市,大里區,新成屋,72791.92,183,108年第三季
台中市,大雅區,中古屋,47151.23,108,108年第三季
台中市,大雅區,新成屋,60576.38,56,108年第三季
台中市,太平區,中古屋,46525.68,517,108年第三季
台中市,太平區,新成屋,59801.55,292,108年第三季
台中市,新社區,中古屋,115421.0,5,108年第三季
台中市,東勢區,中古屋,34666.85,41,108年第三季
台中市,東勢區,新成屋,44869.0,4,108年第三季
台中市,東區,中古屋,55485.02,188,108年第三季
台中市,東區,新成屋,58147.89,94,108年第三季
台中市,梧棲區,中古屋,31555.94,66,108年第三季
台中市,梧棲區,新成屋,68284.91,34,108年第三季
台中市,沙鹿區,中古屋,49604.88,147,108年第三季
台中市,沙鹿區,新成屋,65974.15,96,108年第三季
台中市,清水區,中古屋,44850.02,49,108年第三季
台中市,清水區,新成屋,53279.25,40,108年第三季
台中市,潭子區,中古屋,49702.55,303,108年第三季
台中市,潭子區,新成屋,63923.7,40,108年第三季
台中市,烏日區,中古屋,46345.32,149,108年第三季
台中市,烏日區,新成屋,53854.8,151,108年第三季
台中市,石岡區,中古屋,23626.0,1,108年第三季
台中市,神岡區,中古屋,53299.29,83,108年第三季
台中市,神岡區,新成屋,77596.39,33,108年第三季
台中市,西區,中古屋,53571.1,754,108年第三季
台中市,西區,新成屋,88296.92,39,108年第三季
台中市,西屯區,中古屋,71827.52,1751,108年第三季
台中市,西屯區,新成屋,90296.76,347,108年第三季
台中市,豐原區,中古屋,50162.45,277,108年第三季
台中市,豐原區,新成屋,71587.83,52,108年第三季
台中市,霧峰區,中古屋,39223.37,38,108年第三季
台中市,霧峰區,新成屋,65093.0,4,108年第三季
台中市,龍井區,中古屋,42949.4,144,108年第三季
台中市,龍井區,新成屋,57133.75,12,108年第三季
台北市,中山區,中古屋,124891.08,774,108年第三季
台北市,中山區,新成屋,171533.74,88,108年第三季
台北市,中正區,中古屋,156321.77,364,108年第三季
台北市,中正區,新成屋,161506.7,83,108年第三季
台北市,信義區,中古屋,177900.16,582,108年第三季
台北市,信義區,新成屋,231467.94,143,108年第三季
台北市,內湖區,中古屋,137271.65,1232,108年第三季
台北市,內湖區,新成屋,188895.64,200,108年第三季
