縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,南投市,中古屋,47745.44,107,111年第二季
南投縣,南投市,新成屋,61221.61,38,111年第二季
南投縣,名間鄉,中古屋,25793.5,10,111年第二季
南投縣,名間鄉,新成屋,60694.25,4,111年第二季
南投縣,國姓鄉,中古屋,27773.33,6,111年第二季
南投縣,埔里鎮,中古屋,44694.28,92,111年第二季
南投縣,埔里鎮,新成屋,59851.2,10,111年第二季
南投縣,水里鄉,中古屋,31548,1,111年第二季
南投縣,竹山鎮,中古屋,27989.26,50,111年第二季
南投縣,竹山鎮,新成屋,50076.19,32,111年第二季
南投縣,草屯鎮,中古屋,29432.43,113,111年第二季
南投縣,草屯鎮,新成屋,47680.55,22,111年第二季
南投縣,集集鎮,中古屋,32820,3,111年第二季
南投縣,集集鎮,新成屋,59918.25,4,111年第二季
南投縣,鹿谷鄉,中古屋,42556,9,111年第二季
台中市,中區,中古屋,214.4,15,111年第二季
台中市,北區,中古屋,58343.04,1412,111年第二季
台中市,北區,新成屋,45836.89,18,111年第二季
台中市,北屯區,中古屋,70811.32,2167,111年第二季
台中市,北屯區,新成屋,81625.91,357,111年第二季
台中市,南區,中古屋,62191.64,973,111年第二季
台中市,南區,新成屋,93987.98,56,111年第二季
台中市,南屯區,中古屋,79105.31,1180,111年第二季
台中市,南屯區,新成屋,95081.62,293,111年第二季
台中市,后里區,中古屋,78313.3,23,111年第二季
台中市,后里區,新成屋,38652,5,111年第二季
台中市,外埔區,中古屋,37681.44,9,111年第二季
台中市,大安區,中古屋,56818,1,111年第二季
台中市,大安區,新成屋,58135,1,111年第二季
台中市,大甲區,中古屋,51390.09,43,111年第二季
台中市,大甲區,新成屋,64582.4,25,111年第二季
台中市,大肚區,中古屋,36517.34,59,111年第二季
台中市,大肚區,新成屋,68812,1,111年第二季
台中市,大里區,中古屋,55487.74,480,111年第二季
台中市,大里區,新成屋,66012.62,104,111年第二季
台中市,大雅區,中古屋,58528.26,170,111年第二季
台中市,大雅區,新成屋,54624.77,26,111年第二季
台中市,太平區,中古屋,60330.22,549,111年第二季
台中市,太平區,新成屋,80468.15,121,111年第二季
台中市,新社區,中古屋,22000.14,7,111年第二季
台中市,新社區,新成屋,47644,3,111年第二季
台中市,東勢區,中古屋,48845.96,26,111年第二季
台中市,東勢區,新成屋,77017.33,3,111年第二季
台中市,東區,中古屋,68138.05,214,111年第二季
台中市,東區,新成屋,67463.16,45,111年第二季
台中市,梧棲區,中古屋,49076.2,60,111年第二季
台中市,梧棲區,新成屋,50059.32,31,111年第二季
台中市,沙鹿區,中古屋,54140.28,232,111年第二季
台中市,沙鹿區,新成屋,71711.53,123,111年第二季
台中市,清水區,中古屋,42189.69,51,111年第二季
台中市,清水區,新成屋,53377.71,45,111年第二季
台中市,潭子區,中古屋,62103.11,311,111年第二季
台中市,潭子區,新成屋,100505.3,27,111年第二季
台中市,烏日區,中古屋,64939.52,185,111年第二季
台中市,烏日區,新成屋,48505.23,97,111年第二季
台中市,石岡區,中古屋,13386,2,111年第二季
台中市,神岡區,中古屋,49763.15,60,111年第二季
台中市,神岡區,新成屋,49030.5,12,111年第二季
台中市,西區,中古屋,65501.8,933,111年第二季
台中市,西區,新成屋,109633.5,24,111年第二季
台中市,西屯區,中古屋,70065.08,2135,111年第二季
台中市,西屯區,新成屋,98274.4,172,111年第二季
台中市,豐原區,中古屋,58286.01,283,111年第二季
台中市,豐原區,新成屋,66338.44,27,111年第二季
台中市,霧峰區,中古屋,45523.71,24,111年第二季
台中市,霧峰區,新成屋,106190,1,111年第二季
台中市,龍井區,中古屋,48110.18,172,111年第二季
台中市,龍井區,新成屋,50850.21,14,111年第二季
台北市,中山區,中古屋,156138.72,856,111年第二季
台北市,中山區,新成屋,237055.41,58,111年第二季
台北市,中正區,中古屋,185947.38,340,111年第二季
台北市,中正區,新成屋,271330.55,60,111年第二季
台北市,信義區,中古屋,168967.89,712,111年第二季
台北市,信義區,新成屋,360429.81,137,111年第二季
台北市,內湖區,中古屋,158217.11,1422,111年第二季
台北市,內湖區,新成屋,183616.9,105,111年第二季
台北市,北投區,中古屋,127021.72,889,111年第二季
台北市,北投區,新成屋,147068.58,76,111年第二季
台北市,南港區,中古屋,165254.54,512,111年第二季
台北市,南港區,新成屋,267847.5,16,111年第二季
台北市,士林區,中古屋,127898.48,921,111年第二季
台北市,士林區,新成屋,106385.32,65,111年第二季
台北市,大同區,中古屋,125959.75,116,111年第二季
台北市,大同區,新成屋,166062.51,37,111年第二季
台北市,大安區,中古屋,226646.34,748,111年第二季
台北市,大安區,新成屋,391348.35,54,111年第二季
台北市,文山區,中古屋,144955.75,837,111年第二季
台北市,文山區,新成屋,164113.76,124,111年第二季
台北市,松山區,中古屋,188026.26,666,111年第二季
台北市,松山區,新成屋,470976.63,105,111年第二季
台北市,萬華區,中古屋,99816.25,267,111年第二季
台北市,萬華區,新成屋,97130.44,9,111年第二季
台南市,七股區,中古屋,23610,1,111年第二季
台南市,下營區,中古屋,32572,5,111年第二季
台南市,下營區,新成屋,22710,2,111年第二季
台南市,中西區,中古屋,52655.74,288,111年第二季
台南市,中西區,新成屋,79373.35,48,111年第二季
台南市,仁德區,中古屋,45914.14,224,111年第二季
台南市,仁德區,新成屋,63761.21,33,111年第二季
台南市,佳里區,中古屋,38004.74,46,111年第二季
台南市,佳里區,新成屋,52858.95,19,111年第二季
台南市,六甲區,中古屋,19629.33,6,111年第二季
台南市,六甲區,新成屋,44795.92,13,111年第二季
台南市,北區,中古屋,49555.5,535,111年第二季
台南市,北區,新成屋,30613.88,58,111年第二季
台南市,南區,中古屋,37325.85,375,111年第二季
台南市,南區,新成屋,54411.1,69,111年第二季
台南市,善化區,中古屋,66021.96,46,111年第二季
台南市,善化區,新成屋,75591.96,48,111年第二季
台南市,大內區,中古屋,19689.5,4,111年第二季
台南市,學甲區,中古屋,28720.48,27,111年第二季
台南市,學甲區,新成屋,41867.22,9,111年第二季
台南市,安南區,中古屋,50966.47,590,111年第二季
台南市,安南區,新成屋,66973.08,109,111年第二季
台南市,安定區,中古屋,71936.14,7,111年第二季
台南市,安平區,中古屋,46073.76,493,111年第二季
台南市,安平區,新成屋,71716.75,56,111年第二季
台南市,官田區,中古屋,39343.57,7,111年第二季
台南市,官田區,新成屋,54292,4,111年第二季
台南市,將軍區,中古屋,26961,2,111年第二季
台南市,山上區,中古屋,37757,1,111年第二季
台南市,後壁區,中古屋,26302,4,111年第二季
台南市,新化區,中古屋,34154.57,30,111年第二季
台南市,新化區,新成屋,77679.83,6,111年第二季
