縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,24866.0,1,102年第四季
南投縣,南投市,中古屋,29155.83,117,102年第四季
南投縣,南投市,新成屋,52415.33,6,102年第四季
南投縣,名間鄉,中古屋,26642.67,3,102年第四季
南投縣,國姓鄉,中古屋,15607.0,3,102年第四季
南投縣,埔里鎮,中古屋,28659.17,105,102年第四季
南投縣,埔里鎮,新成屋,34397.0,2,102年第四季
南投縣,水里鄉,中古屋,26821.0,9,102年第四季
南投縣,竹山鎮,中古屋,17389.19,43,102年第四季
南投縣,草屯鎮,中古屋,29576.2,94,102年第四季
南投縣,草屯鎮,新成屋,40123.83,6,102年第四季
南投縣,集集鎮,中古屋,25967.25,4,102年第四季
南投縣,集集鎮,新成屋,36711.5,2,102年第四季
南投縣,鹿谷鄉,中古屋,24649.4,5,102年第四季
台中市,中區,中古屋,27745.1,48,102年第四季
台中市,北區,中古屋,40806.03,1563,102年第四季
台中市,北區,新成屋,30918.46,160,102年第四季
台中市,北屯區,中古屋,41432.81,1768,102年第四季
台中市,北屯區,新成屋,62898.01,242,102年第四季
台中市,南區,中古屋,39965.48,1036,102年第四季
台中市,南區,新成屋,49026.53,552,102年第四季
台中市,南屯區,中古屋,51886.64,1161,102年第四季
台中市,南屯區,新成屋,69326.13,142,102年第四季
台中市,后里區,中古屋,39422.68,28,102年第四季
台中市,后里區,新成屋,47109.0,4,102年第四季
台中市,外埔區,中古屋,22904.0,8,102年第四季
台中市,外埔區,新成屋,37655.33,3,102年第四季
台中市,大安區,中古屋,24780.5,2,102年第四季
台中市,大甲區,中古屋,39670.14,44,102年第四季
台中市,大甲區,新成屋,44872.0,1,102年第四季
台中市,大肚區,中古屋,24674.6,48,102年第四季
台中市,大肚區,新成屋,28060.0,4,102年第四季
台中市,大里區,中古屋,36076.04,626,102年第四季
台中市,大里區,新成屋,57209.56,36,102年第四季
台中市,大雅區,中古屋,38529.43,189,102年第四季
台中市,大雅區,新成屋,70987.78,9,102年第四季
台中市,太平區,中古屋,33075.23,549,102年第四季
台中市,太平區,新成屋,58592.69,135,102年第四季
台中市,新社區,中古屋,24358.67,9,102年第四季
台中市,東勢區,中古屋,24017.61,44,102年第四季
台中市,東勢區,新成屋,37777.0,1,102年第四季
台中市,東區,中古屋,40354.49,231,102年第四季
台中市,東區,新成屋,62898.61,74,102年第四季
台中市,梧棲區,中古屋,28801.17,58,102年第四季
台中市,梧棲區,新成屋,42329.24,17,102年第四季
台中市,沙鹿區,中古屋,33894.96,209,102年第四季
台中市,沙鹿區,新成屋,46078.83,64,102年第四季
台中市,清水區,中古屋,29198.3,37,102年第四季
台中市,清水區,新成屋,41545.31,13,102年第四季
台中市,潭子區,中古屋,37276.69,371,102年第四季
台中市,潭子區,新成屋,61156.08,13,102年第四季
台中市,烏日區,中古屋,46425.79,117,102年第四季
台中市,烏日區,新成屋,65996.72,29,102年第四季
台中市,石岡區,中古屋,30498.33,3,102年第四季
台中市,神岡區,中古屋,34737.14,58,102年第四季
台中市,神岡區,新成屋,62260.0,1,102年第四季
台中市,西區,中古屋,45087.94,1189,102年第四季
台中市,西區,新成屋,87767.33,122,102年第四季
台中市,西屯區,中古屋,48150.36,2110,102年第四季
台中市,西屯區,新成屋,71639.99,386,102年第四季
台中市,豐原區,中古屋,37878.67,309,102年第四季
台中市,豐原區,新成屋,56103.18,40,102年第四季
台中市,霧峰區,中古屋,29766.31,49,102年第四季
台中市,霧峰區,新成屋,36028.0,2,102年第四季
台中市,龍井區,中古屋,20241.39,69,102年第四季
台中市,龍井區,新成屋,44075.45,29,102年第四季
台北市,中山區,中古屋,161528.19,752,102年第四季
台北市,中山區,新成屋,158325.89,266,102年第四季
台北市,中正區,中古屋,178063.14,273,102年第四季
台北市,中正區,新成屋,227786.89,174,102年第四季
台北市,信義區,中古屋,151586.9,617,102年第四季
台北市,信義區,新成屋,209027.26,110,102年第四季
台北市,內湖區,中古屋,133224.96,1228,102年第四季
台北市,內湖區,新成屋,178175.25,471,102年第四季
台北市,北投區,中古屋,117578.91,768,102年第四季
台北市,北投區,新成屋,131505.58,186,102年第四季
台北市,南港區,中古屋,131523.75,225,102年第四季
台北市,南港區,新成屋,166771.86,326,102年第四季
台北市,士林區,中古屋,135989.08,620,102年第四季
台北市,士林區,新成屋,180578.66,223,102年第四季
台北市,大同區,中古屋,125802.38,112,102年第四季
台北市,大同區,新成屋,128931.98,93,102年第四季
台北市,大安區,中古屋,203449.15,725,102年第四季
台北市,大安區,新成屋,246730.5,213,102年第四季
台北市,文山區,中古屋,121152.31,729,102年第四季
台北市,文山區,新成屋,150676.87,567,102年第四季
