鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北屯區,房地(土地+建物)+車位,臺中市北屯區詔安街８８號六樓之１１,22.23,住,,,1110612,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131228,137.52,2,2,2,有,有,14930000,123355,坡道平面,31.89,1900000,預售屋、或土地及建物分件登記案件；,RPTQMLQKJHKGFBB08DA,63.25,0.0,4.4,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區詔安街８８號四樓之１６,21.73,住,,,1110617,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131228,135.14,2,2,2,有,有,15260000,129395,坡道平面,31.89,1900000,預售屋、或土地及建物分件登記案件；,RPUPMLRKJHKGFBB18DA,62.92,0.0,3.26,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區詔安街８８號四樓之２３,21.14,住,,,1110609,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131228,132.57,2,2,2,有,有,14900000,129122,坡道平面,31.89,1900000,預售屋、或土地及建物分件登記案件；,RPRQMLRKJHKGFBB97DA,61.09,0.0,3.37,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區詔安街８８號四樓之２５,21.22,住,,,1110609,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131228,132.72,2,2,2,有,有,14980000,129723,坡道平面,31.89,1900000,1.本案於113.08.02轉讓，轉讓金額為1517萬元整。預售屋、或土地及建物分件登記案件；,RPSQMLRKJHKGFBB08DA,61.16,0.0,3.37,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區詔安街８８號八樓之１３,27.47,住,,,1110610,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131228,194.49,2,2,2,有,有,21840000,134955,坡道平面,63.78,4200000,1.本案於111.07.15加購車位一個，加購金額為210萬元整。預售屋、或土地及建物分件登記案件；,RPOVNLRKJHKGFBB28DA,78.3,0.0,5.4,有,
梧棲區,房地(土地+建物)+車位,臺中市梧棲區四維中路８之３號五樓之５,11.17,商,,,1110628,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131228,120.05000000000001,2,2,1,有,有,6910000,65395,坡道機械,22.03,500000,預售屋、或土地及建物分件登記案件；,RPOPNLMKKHKGFFB67DA,60.23,0.0,5.39,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區詔安街８８號十二樓之７,21.29,住,,,1110616,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131228,133.06,2,2,2,有,有,16350000,139864,坡道平面,31.89,2200000,預售屋、或土地及建物分件登記案件；,RPTQNLOKJHKGFBB97DA,61.52,0.0,3.26,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區詔安街８８號一樓之１５,23.83,住,,,1110618,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131228,144.95,2,2,2,有,有,16950000,133115,坡道平面,31.89,1900000,1.本案於113.01.23轉讓，轉讓金額為1695萬元整。預售屋、或土地及建物分件登記案件；,RPRNMLRKJHKGFBB67DA,72.55,0.0,0.0,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區詔安街８８號十二樓之１２,30.37,住,,,1110618,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131228,176.32,3,2,2,有,有,22140000,138752,坡道平面,31.89,2100000,預售屋、或土地及建物分件登記案件；,RPWVNLRKJHKGFBB09DA,82.04,0.0,10.52,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區詔安街８８號三樓之１３,27.47,住,,,1110626,土地1建物1車位2,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131228,194.49,2,2,2,有,有,20990000,132278,坡道平面,63.78,3700000,1.本案於111.07.27加購車位一個，加購金額為180萬元整。預售屋、或土地及建物分件登記案件；,RPTWNLRKJHKGFBB88DA,78.3,0.0,5.4,有,
沙鹿區,房地(土地+建物),臺中市沙鹿區中樂街９５巷１７號,74.77,住,,,1110618,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130726,193.47,4,2,3,有,無,16980000,87766,,0.0,0,預售屋、或土地及建物分件登記案件；,RPXNMLOJLHKGFFB48DA,172.01,0.0,21.31,無,
沙鹿區,房地(土地+建物),臺中市沙鹿區自立路６６號,76.36,住,,,1110620,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130726,191.53,4,2,3,有,無,17780000,92831,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPOMLOJLHKGFFB77DA,184.14,0.0,7.24,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區南興路８９０號,31.02,住,,,1110522,土地1建物1車位1,一層，二層,二十層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1130911,201.57,0,0,0,無,有,36950000,200626,坡道平面,25.87,1700000,預售屋、或土地及建物分件登記案件；,RPURMLQJKIJGFBB28DA,127.25,0.0,4.52,有,
