標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
百福稀有大空間,基隆市七堵區百二街,45.0年,公寓,26.95,26.95,3房3廳1衛(含加蓋1廳),4樓/4樓,無車位,598,6896JY,2025-10-02 03:12:48
望山面海。星河繪三房,基隆市中正區調和街,6.6年,大樓,49.03,28.14,3房2廳2衛,12樓/14樓,坡道平面車位,1,2499NL,2025-10-02 03:12:48
新接⭐稀有黃金寬店面,基隆市中正區中正路,32.1年,店面,54.61,13.59,2廳,B1-1樓/7樓,無車位,2,78173C,2025-10-02 03:12:48
暖暖達麗☆兩房車位,基隆市暖暖區源遠路,9.8年,大樓,32.41,13.66,2房2廳1衛,15樓/15樓,坡道平面車位,1,5219JG,2025-10-02 03:12:48
港都傳奇－高樓景觀３房,基隆市信義區教孝街,32.3年,大樓,33.83,27.52,3房2廳2衛,12樓/15樓,無車位,730,8266BW,2025-10-02 03:12:48
［成家首選］邊間電梯三房,基隆市安樂區樂利二街,29.6年,華廈,33.15,27.27,3房2廳1衛1室,2樓/7樓,無車位,750,7648LG,2025-10-02 03:12:48
福音★低總價綠葉兩房,基隆市七堵區綠葉街,26.3年,華廈,23.48,17.63,2房2廳2衛(含加蓋1房1衛),5樓/9樓,無車位,850,9409ZZ,2025-10-02 03:12:57
基隆暖暖台北大鎮旁土地,基隆市暖暖區碇內街,,土地,8683.29,,,,無車位,8,53553V,2025-10-02 03:12:57
⭐長安透天２５５－１６,基隆市七堵區長安街,43.6年,透天,30.7,27.79,3房3廳2衛(含加蓋1廳),1-2樓/2樓,無車位,650,2287GV,2025-10-02 03:12:57
幸福華城●一樓三房,基隆市暖暖區碇內街,30.2年,華廈,33.04,21.19,3房2廳1.5衛,1樓/6樓,無車位,528,9613VM,2025-10-02 03:12:57
稀有河景黃金三樓,基隆市七堵區福五街,32.3年,公寓,24.4,22.97,2房2廳2衛,3樓/4樓,無車位,698,4718FF,2025-10-02 03:12:57
出價就談千坪近基隆長庚,基隆市安樂區麥金路,31.0年,辦公,1117.8,360.36,6房3廳10衛2室,B1-2樓/19樓,其他,19,22210E,2025-10-02 03:12:57
麗寶大觀三房海景平車,基隆市中山區華興街,17.1年,華廈,63.53,39.4,3房2廳2衛,7樓/8樓,坡道平面車位,1,2724TR,2025-10-02 03:12:57
