標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
宏家凱悅採光３房平車,新竹市延平路三段,30.8年,華廈,39.9,24.69,3房2廳2衛,5樓/7樓,坡道平面車位,950,7936VD,2025-09-20 11:11:34
自由大道六樓三房車位自由大道,新竹市中華路四段,10.4年,大樓,47.98,25.56,3房2廳2衛,6樓/13樓,坡道平面車位,1,1333LH,2025-09-20 11:11:34
樂巢代優質３房住家樂巢代,新竹市東華路,11.1年,大樓,48.3,26,3房2廳2衛,5樓/15樓,坡道平面車位,1,1732WP,2025-09-20 11:11:34
三民採光好三房,新竹市經國路一段,30.0年,大樓,33.2,24.86,3房2廳2衛,7樓/13樓,無車位,1,2911YV,2025-09-20 11:11:34
鴻柏織光兩房大空間平車鴻柏織光,新竹市金雅路,5.4年,大樓,43.6,22.34,2房2廳1.5衛,4樓/15樓,坡道平面車位,2,1686PJ,2025-09-20 11:11:34
近關埔國小三房雙車位豐邑進化論,新竹市光復路一段,12.9年,大樓,53.74,27.37,3房2廳2衛,12樓/14樓,兩個以上車位,2,8262FX,2025-09-20 11:11:44
孟竹國宅邊間明亮金寶貝孟竹國宅,新竹市建功一路,41.7年,公寓,22.96,22.96,4房1廳1.5衛,5樓/5樓,無車位,1,7695XT,2025-09-20 11:11:44
綠洲。稀有面公園視野三房幸福城邦二期-瑞...,新竹市東新路,5.0年,大樓,49.69,27.14,3房2廳2衛,9樓/15樓,坡道平面車位,3,1005HN,2025-09-20 11:11:44
金山前段收租雙店面寬,新竹市金山十街,27.0年,店面,60.18,56.6,9房3廳10.5衛(含加蓋7房7.5衛),1-2樓/2樓,無車位,6,98409N,2025-09-20 11:11:44
臻藏．鑫城高樓光景世紀鑫城-世紀區,新竹市金城三路,7.8年,辦公/大樓,50.32,30.56,3房2廳2衛,9樓/15樓,坡道平面車位,3,4237ML,2025-09-20 11:11:44
南寮美景天際,新竹市東大路四段,15.2年,大樓,31.36,15.66,1房1廳1衛,11樓/13樓,坡道平面車位,890,3998JM,2025-09-20 11:11:44
東園國小旁動物園四房車位運動家,新竹市綠水路,28.6年,華廈,40.39,30.24,4房2廳2衛,5樓/8樓,坡道機械車位,1,6471AX,2025-09-20 11:11:44
臻藏．陽明采邑高樓宅陽明采邑,新竹市光復路一段,31.8年,大樓,30.08,21.52,3房2廳1衛,7樓/12樓,無車位,1,8356JY,2025-09-20 11:11:44
文心匯高樓層面綠園道文心匯,新竹市慈雲路,6.4年,大樓,53.84,27.51,3房2廳2衛,18樓/29樓,坡道平面車位,2,1979ZM,2025-09-20 11:11:44
夏川里美採光溫馨美屋夏川里美,新竹市埔頂一路,12.5年,大樓,39.73,19.46,2房2廳1衛,10樓/14樓,坡道平面車位,2,8241BQ,2025-09-20 11:11:44
關埔稀有邊間大兩房雙衛浴亞哥靜界,新竹市龍山東路,14.2年,大樓,36,16.9,2房2廳2衛,9樓/13樓,坡道機械車位,2,92515Q,2025-09-20 11:11:44
專任太睿國寶稀有釋出太睿國寶,新竹市中山路,9.9年,大樓,68.98,34.14,4房2廳2衛,7樓/24樓,兩個以上車位,4,7970UW,2025-09-20 11:11:44
仁愛街三面採光邊間三房,新竹市仁愛街,42.8年,公寓,30.54,30.54,3房2廳2衛,5樓/5樓,無車位,1,8952AJ,2025-09-20 11:11:44
培英一層一戶,新竹市東大路一段,32.2年,公寓,26.62,18.8,2房2廳2衛(含加蓋1房1廳),5樓/5樓,無車位,900,2890MR,2025-09-20 11:11:44
