標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,圖片網址
誠售聯悅臻高樓視野三房,台中市梧棲區臨港路四段,1.7年,大樓,49.87,27.01,3房2廳2衛,13樓/24樓,坡道平面車位,1128,9694DJ,https://res.sinyi.com.tw/buy/9694DJ/smallimg/A.JPG
★敦美近捷運低總三房平車敦美,台中市南屯區大墩三街,3.6年,大樓,47.95,25.56,3房2廳2衛,24樓/24樓,坡道平面車位,2588,2537HS,https://res.sinyi.com.tw/buy/2537HS/smallimg/A.JPG
中科國安藍海帝國視野三房富宇藍海帝國,台中市西屯區國安一路,19.0年,大樓,42.59,24.72,3房2廳2衛,6樓/15樓,坡道平面車位,1788,3639XB,https://res.sinyi.com.tw/buy/3639XB/smallimg/A.JPG
近向上市場三房有車位親家御苑,台中市西區華美街,30.8年,華廈,40.04,28.53,3房2廳2衛,4樓/8樓,坡道機械車位,1298,4682YW,https://res.sinyi.com.tw/buy/4682YW/smallimg/A.JPG
上城新青安首購兩房車位興富發上城,台中市西屯區臺灣大道三段,20.1年,大樓,31.21,17.78,2房2廳1衛,6樓/22樓,坡道機械車位,1488,4684VC,https://res.sinyi.com.tw/buy/4684VC/smallimg/A.JPG
七期急售★市政１０１讚市政101,台中市西屯區河南路三段,19.5年,大樓,26.2,12.86,1房1廳1衛,3樓/15樓,坡道機械車位,1288,5160FJ,https://res.sinyi.com.tw/buy/5160FJ/smallimg/A.JPG
微笑雲品視野高樓平車美宅微笑世紀B區/雲...,台中市北區育樂街,7.3年,大樓,32.48,15.19,2房2廳1衛(含加蓋1房),19樓/21樓,坡道平面車位,1298,9940UN,https://res.sinyi.com.tw/buy/9940UN/smallimg/A.JPG
五期核心．大墩皇家三房大墩皇家,台中市西屯區大隆路,33.0年,大樓,41.84,33.14,3房2廳2衛,8樓/13樓,無車位,1398,3008BF,https://res.sinyi.com.tw/buy/3008BF/smallimg/A.JPG
賠售視野採光美三房機上凱撒風景園邸,台中市南屯區忠勇路,32.0年,大樓,37.67,27.51,3房2廳2衛,10樓/16樓,坡道機械車位,850,4139KS,https://res.sinyi.com.tw/buy/4139KS/smallimg/A.JPG
店長推薦！大里四房公園戶,台中市大里區長春路,32.9年,華廈,36.08,29.35,4房2廳2衛,2樓/6樓,無車位,720,6544HN,https://res.sinyi.com.tw/buy/6544HN/smallimg/A.JPG
鄉林凱撒高樓三房車位鄉林凱撒,台中市南區忠明南路,21.7年,大樓,40.76,25.99,3房2廳2衛,15樓/18樓,坡道機械車位,1258,6958QR,https://res.sinyi.com.tw/buy/6958QR/smallimg/A.JPG
出價談德光聚視野三房車位,台中市沙鹿區永寧路,0.9年,大樓,39.41,22.73,3房2廳2衛,5樓/15樓,坡道機械車位,1088,8987XJ,https://res.sinyi.com.tw/buy/8987XJ/smallimg/A.JPG
用心全室水電整理裝潢公寓,台中市西區昇平街,47.4年,公寓,18.84,18.84,3房2廳1衛,4樓/5樓,無車位,598,5231US,https://res.sinyi.com.tw/buy/5231US/smallimg/A.JPG
［降價］三采市政裝潢四房三采市政天地,台中市南屯區河南路四段,28.9年,大樓,43.52,32.63,4房2廳2衛,10樓/14樓,無車位,1398,0215SN,https://res.sinyi.com.tw/buy/0215SN/smallimg/A.JPG
通豪芳鄰優質兩房一室車位,台中市北區武漢街,33.1年,華廈,36.16,25.32,2房2廳2衛1室,6樓/7樓,坡道機械車位,936,7641XG,https://res.sinyi.com.tw/buy/7641XG/smallimg/A.JPG
市政府站附近方正美宅,台中市西屯區臺灣大道二段,38.6年,公寓,30.08,30.08,3房2廳2衛,5樓/5樓,無車位,1089,7853GQ,https://res.sinyi.com.tw/buy/7853GQ/smallimg/A.JPG
微時代精美附平面車位美宅,台中市南屯區三和街,2.8年,大樓,27.48,13.32,2房2廳1衛,4樓/15樓,坡道平面車位,1300,8263NY,https://res.sinyi.com.tw/buy/8263NY/smallimg/A.JPG
近科博館大套房有流理台,台中市北區健行路,31.5年,大樓,10.42,7.11,1房1衛,9樓/13樓,無車位,319,9080TG,https://res.sinyi.com.tw/buy/9080TG/smallimg/A.JPG
專任崇德漢口商圈電梯三房,台中市北區崇德路一段,40.0年,華廈,29.23,20.01,3房2廳1衛,8樓/9樓,無車位,850,7780CY,https://res.sinyi.com.tw/buy/7780CY/smallimg/A.JPG
和宜極美３房車位露臺戶和宜極美,台中市北屯區大連西路,3.0年,大樓,42.97,24.44,3房2廳2衛,2樓/23樓,坡道機械車位,1998,1000GZ,https://res.sinyi.com.tw/buy/1000GZ/smallimg/A.JPG
孩子王大三房平車櫻花孩子王,台中市南區復興北路,6.9年,大樓,50.36,28.48,3房2廳2衛,2樓/15樓,坡道平面車位,2198,1114QJ,https://res.sinyi.com.tw/buy/1114QJ/smallimg/A.JPG
櫻花大櫻國２漂亮裝潢戶,台中市太平區環中東路四段,4.3年,大樓,33.88,16.25,2房2廳1衛,4樓/15樓,坡道平面車位,1198,2156RJ,https://res.sinyi.com.tw/buy/2156RJ/smallimg/A.JPG
勝美極美三房平車勝美極美,台中市南屯區寶山東二街,15.4年,大樓,42.11,23.46,3房2廳2衛,9樓/12樓,坡道平面車位,1598,3228YP,https://res.sinyi.com.tw/buy/3228YP/smallimg/A.JPG
市政１號院朝南美視野市政1號院,台中市西屯區市政路,1.2年,大樓,30.77,17.5,2房2廳1衛,15樓/31樓,坡道機械車位,1838,4755VH,https://res.sinyi.com.tw/buy/4755VH/smallimg/A.JPG
楓ＰＡＲＫ綠意三房雙平車楓PARK,台中市南屯區楓樹西街,3.0年,大樓,63.11,30.98,3房2廳2衛,3樓/14樓,兩個以上車位,2788,4832DP,https://res.sinyi.com.tw/buy/4832DP/smallimg/A.JPG
創造之旅三房附車位鉅虹創造之旅,台中市南屯區河南路四段,22.6年,大樓,39.62,26.02,3房2廳2衛,4樓/14樓,坡道機械車位,1980,5433YQ,https://res.sinyi.com.tw/buy/5433YQ/smallimg/A.JPG
太子殿廈裝潢大四房平車太子殿廈,台中市北屯區松竹路二段,34.6年,大樓,74.33,54.49,4房2廳2衛1室,5樓/16樓,坡道平面車位,1880,7071BF,https://res.sinyi.com.tw/buy/7071BF/smallimg/A.JPG
中科２房２衛平車稀有釋出錦億書香園,台中市西屯區西屯路三段,32.8年,華廈,35.13,21.67,2房2廳2衛,3樓/7樓,坡道平面車位,888,7801GU,https://res.sinyi.com.tw/buy/7801GU/smallimg/A.JPG
雲品寬敞美宅主陽約２５坪微笑世紀B區/雲...,台中市北區育樂街,7.3年,大樓,44.67,24.77,2房2廳2衛,15樓/22樓,坡道平面車位,1705,9479LQ,https://res.sinyi.com.tw/buy/9479LQ/smallimg/A.JPG
專任理感面公園降９００萬理性與感性,台中市西屯區市政北五路,25.8年,大樓,74.68,53.31,1廳,22樓/25樓,坡道平面車位,4380,1799CP,https://res.sinyi.com.tw/buy/1799CP/smallimg/A.JPG
視野邊間美裝潢四房平車景川匯,台中市大里區新甲路,10.9年,大樓,58.78,33.01,4房2廳2衛,10樓/13樓,坡道平面車位,1850,2564DH,https://res.sinyi.com.tw/buy/2564DH/smallimg/A.JPG
找好房＊微笑雲品三房平車微笑世紀B區/雲...,台中市北區育樂街,7.3年,大樓,46.71,25.43,3房2廳2衛,2樓/22樓,坡道平面車位,1788,3008SZ,https://res.sinyi.com.tw/buy/3008SZ/smallimg/A.JPG
昇揚有隔間大套房平車昇揚INN12,台中市西屯區黎明路三段,11.9年,大樓,28.7,12.99,1房1廳1衛,7樓/11樓,坡道平面車位,1198,31152T,https://res.sinyi.com.tw/buy/31152T/smallimg/A.JPG
★賠售天之驕子朝南好宅天之驕子,台中市北屯區文心路四段,31.0年,大樓,19.6,14.2,1房2廳1衛1室,9樓/22樓,無車位,598,3767JU,https://res.sinyi.com.tw/buy/3767JU/smallimg/A.JPG
漢神百貨。公園視野戶舜元知了,台中市北屯區四平路,4.6年,大樓,45.12,23.32,3房2廳2衛,12樓/15樓,坡道平面車位,2368,6071DF,https://res.sinyi.com.tw/buy/6071DF/smallimg/A.JPG
