標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,圖片網址
豐邑生活三房車位豐邑生活館,台中市北屯區雷中街,19.0年,大樓,42.72,28.25,3房2廳2衛,6樓/12樓,坡道機械車位,1498,6134YD,https://res.sinyi.com.tw/buy/6134YD/smallimg/A.JPG
雲世紀Ｂ區二房精裝雙車位雲世紀B區米勒拾...,台中市西屯區國安一路,11.8年,大樓,59.25,25.98,2房2廳2衛,6樓/21樓,兩個以上車位,2298,9941KN,https://res.sinyi.com.tw/buy/9941KN/smallimg/A.JPG
稀有釋出綠豐華三房附車位泰鉅綠豐華,台中市南區工學路,10.5年,大樓,44.93,26.88,3房2廳2衛,1樓/12樓,坡道機械車位,1850,2069BT,https://res.sinyi.com.tw/buy/2069BT/smallimg/A.JPG
近【中山醫】一房一廳假日半島,台中市南區復興路二段,32.3年,大樓,14.9,12.25,1房1廳1衛,8樓/13樓,無車位,438,2301QL,https://res.sinyi.com.tw/buy/2301QL/smallimg/A.JPG
單元三惠宇青山清高樓四房惠宇青山清,台中市南屯區文心南五路三段,2.4年,大樓,90.92,43.3,4房2廳2衛,11樓/20樓,兩個以上車位,4980,3577WR,https://res.sinyi.com.tw/buy/3577WR/smallimg/A.JPG
精銳ＦＵＮ未來☆簡約舒適精銳FUN未來,台中市西屯區寶慶街,5.1年,大樓,52.56,28.34,3房2廳2衛,7樓/23樓,坡道平面車位,3180,3747AX,https://res.sinyi.com.tw/buy/3747AX/smallimg/A.JPG
南屯蛋黃區急售大降價！,台中市南屯區五權西路二段,29.6年,大樓,49.27,35.01,3房2廳2衛2室,14樓/16樓,坡道機械車位,1598,5592GB,https://res.sinyi.com.tw/buy/5592GB/smallimg/A.JPG
俊華貞藏私藏美屋俊華貞藏,台中市南區崇倫街,14.1年,華廈,38.9,18.64,2房2廳1衛,4樓/9樓,坡道平面車位,1488,6198YS,https://res.sinyi.com.tw/buy/6198YS/smallimg/A.JPG
南區２房平面車位稀有釋出歌德堡,台中市南區德富路,27.8年,華廈,32.96,19.55,2房2廳1衛,8樓/9樓,坡道平面車位,998,6293PK,https://res.sinyi.com.tw/buy/6293PK/smallimg/A.JPG
近國豐街衛浴開窗三樓美寓,台中市北區國豐街,44.9年,公寓,15.04,13.7,1房1廳1衛,3樓/5樓,無車位,408,6419XW,https://res.sinyi.com.tw/buy/6419XW/smallimg/A.JPG
降價專任五權車站兩房兩衛寶璽祥園,台中市南區南平路,35.0年,大樓,31.44,24.04,2房2廳2衛,10樓/15樓,無車位,798,6741MZ,https://res.sinyi.com.tw/buy/6741MZ/smallimg/A.JPG
多戶可選｜河岸景觀大三房,台中市北屯區柳陽西街,32.0年,華廈,46.48,31.56,3房2廳2衛,3樓/7樓,無車位,1180,8454MM,https://res.sinyi.com.tw/buy/8454MM/smallimg/A.JPG
中科生活圈雙陽台採光三房,台中市西屯區安和路,34.3年,大樓,40.55,32.11,3房2廳2衛,4樓/14樓,坡道機械車位,1288,8970RC,https://res.sinyi.com.tw/buy/8970RC/smallimg/A.JPG
中科御景江山視野三房車位御景江山,台中市西屯區西屯路三段,35.2年,大樓,53.68,39.23,3房2廳2衛,14樓/15樓,坡道機械車位,1280,1514CS,https://res.sinyi.com.tw/buy/1514CS/smallimg/A.JPG
急售雲世紀Ｂ區三房雙車位雲世紀B區米勒拾...,台中市西屯區國安一路,11.8年,大樓,53.19,25.99,3房2廳2衛,17樓/21樓,兩個以上車位,2098,1525LJ,https://res.sinyi.com.tw/buy/1525LJ/smallimg/A.JPG
比建商俗採光三房平車,台中市北屯區興安路二段,0.4年,大樓,46.08,25.79,3房2廳2衛,4樓/15樓,坡道平面車位,1828,1762FR,https://res.sinyi.com.tw/buy/1762FR/smallimg/A.JPG
十二期重劃區視野三房平車I時尚,台中市西屯區青海南街,13.1年,大樓,50.35,24.24,3房2廳2衛,10樓/12樓,坡道平面車位,1758,1777MH,https://res.sinyi.com.tw/buy/1777MH/smallimg/A.JPG
店長推薦品藏逢甲兩房附車品藏逢甲,台中市西屯區福星路,19.0年,大樓,30.44,18.44,2房2廳1衛,4樓/13樓,坡道機械車位,1368,1974XF,https://res.sinyi.com.tw/buy/1974XF/smallimg/A.JPG
大客廳⭐兩房兩衛⭐露臺戶魯班造鎮,台中市潭子區榮興街,33.3年,大樓,45.87,24.47,2房2廳2衛,3樓/12樓,無車位,868,2180UW,https://res.sinyi.com.tw/buy/2180UW/smallimg/A.JPG
微笑之心高樓視野一房平車微笑世紀A區/微...,台中市北區育樂街,4.9年,大樓,31.07,13.47,1房2廳1衛,18樓/22樓,坡道平面車位,1190,2974NR,https://res.sinyi.com.tw/buy/2974NR/smallimg/A.JPG
首購適合。四房含車位,台中市西區精誠二十街,33.5年,華廈,43.83,31.84,4房2廳2衛,3樓/7樓,升降機械車位,1180,4341HT,https://res.sinyi.com.tw/buy/4341HT/smallimg/A.JPG
允將康活兩房車位允將康活,台中市大里區祥興路,7.3年,大樓,33.5,17.05,2房2廳1衛,6樓/12樓,坡道機械車位,1298,6331NU,https://res.sinyi.com.tw/buy/6331NU/smallimg/A.JPG
不老林園高樓四房附雙車位不老林園,台中市北區山西路二段,33.3年,大樓,74.57,52.73,4房3廳2衛,10樓/15樓,兩個以上車位,1588,7492KG,https://res.sinyi.com.tw/buy/7492KG/smallimg/A.JPG
近捷運市政府站大兩房兩衛興富發上城,台中市西屯區臺灣大道三段,20.1年,大樓,33.76,24.18,2房2廳2衛,9樓/22樓,無車位,1498,79014L,https://res.sinyi.com.tw/buy/79014L/smallimg/A.JPG
十二期優質四房雙平車！時代麗景,台中市西屯區福星北二街,12.7年,大樓,70.68,34.55,4房2廳2衛,5樓/12樓,兩個以上車位,3580,2434SR,https://res.sinyi.com.tw/buy/2434SR/smallimg/A.JPG
大俊國高樓層景觀套房大俊國,台中市西屯區永福路,30.3年,大樓,10.79,7.9,1房1廳1衛,12樓/19樓,無車位,398,0328LT,https://res.sinyi.com.tw/buy/0328LT/smallimg/A.JPG
新案☀️興大三房平面車位歐米家I,台中市大里區大明路,22.8年,大樓,33.99,19.43,3房2廳2衛,5樓/12樓,坡道平面車位,1038,0695JB,https://res.sinyi.com.tw/buy/0695JB/smallimg/A.JPG
✿南屯低總價美三房,台中市南屯區東興西街,33.1年,華廈,36.29,21.55,3房2廳1衛,2樓/7樓,升降機械車位,998,2649WW,https://res.sinyi.com.tw/buy/2649WW/smallimg/A.JPG
達麗大道視野美三房雙平車達麗大道,台中市西屯區青海南街,4.9年,大樓,51.71,19.93,3房2廳2衛,19樓/23樓,兩個以上車位,2558,3955BC,https://res.sinyi.com.tw/buy/3955BC/smallimg/A.JPG
勇建通商近逢甲精美大套房勇建通商,台中市西屯區河南路二段,33.8年,套房,10.54,8.18,1房1衛,4樓/10樓,無車位,358,4272WC,https://res.sinyi.com.tw/buy/4272WC/smallimg/A.JPG
先看★文心愛悅附車位文心愛悅,台中市南屯區文心南路,2.6年,大樓,29.06,15.72,2房2廳1衛,12樓/31樓,坡道機械車位,1560,4936YZ,https://res.sinyi.com.tw/buy/4936YZ/smallimg/A.JPG
誠意出售ＭＹ勝美裝潢３房MY勝美,台中市西屯區青海路二段,6.2年,大樓,46.98,26.59,3房2廳2衛,7樓/15樓,坡道平面車位,2198,5660MD,https://res.sinyi.com.tw/buy/5660MD/smallimg/A.JPG
急售！近五權車站四房平車寶璽祥園,台中市南區南平路,35.0年,大樓,54.1,31.37,4房2廳2衛,14樓/15樓,坡道平面車位,1128,9384LQ,https://res.sinyi.com.tw/buy/9384LQ/smallimg/A.JPG
北屯朝南大三房雙主臥,台中市北屯區松竹路二段,32.4年,華廈,70.3,50.71,3房2廳3衛,7樓/8樓,坡道機械車位,1450,9777UP,https://res.sinyi.com.tw/buy/9777UP/smallimg/A.JPG
太原車站輕屋齡成家好相寓,台中市北屯區國豐街,26.2年,公寓,24.59,21.12,3房2廳2衛(含加蓋2房),4樓/5樓,無車位,668,0441AC,https://res.sinyi.com.tw/buy/0441AC/smallimg/A.JPG
中興大學！遠見天下遠見天下,台中市南區仁義街,31.7年,大樓,44.91,34.22,3房2廳2衛,3樓/13樓,坡道機械車位,1198,1414BK,https://res.sinyi.com.tw/buy/1414BK/smallimg/A.JPG
國聚之幸次頂邊間兩房平車國聚之幸,台中市西屯區福科路,7.8年,大樓,38.7,18.35,2房2廳1衛,14樓/15樓,坡道平面車位,1998,2815SW,https://res.sinyi.com.tw/buy/2815SW/smallimg/A.JPG
熊貓天下高樓視野美套房熊貓天下,台中市西屯區西屯路二段,31.6年,大樓,8.15,5.17,1房1廳1衛,15樓/15樓,無車位,298,4544JY,https://res.sinyi.com.tw/buy/4544JY/smallimg/A.JPG
急低於行情七期景觀宅赫里翁,台中市西屯區青海路二段,15.7年,大樓,108.62,66.82,3房2廳3衛,24樓/25樓,兩個以上車位,3988,5220KV,https://res.sinyi.com.tw/buy/5220KV/smallimg/A.JPG
約７．４年視野三房平車塗城京讚,台中市大里區塗城路,7.5年,大樓,49.01,24.99,3房2廳2衛,11樓/11樓,坡道平面車位,1468,7077DW,https://res.sinyi.com.tw/buy/7077DW/smallimg/A.JPG
推！大雅學府商圈兩房平車,台中市大雅區學府路,10.8年,大樓,43.37,20.27,2房2廳2衛,5樓/12樓,坡道平面車位,1398,8282HY,https://res.sinyi.com.tw/buy/8282HY/smallimg/A.JPG
專任勝美琚朝南帝王戶,台中市南屯區建功路,0.7年,大樓,47.84,26.22,3房2廳2衛,22樓/23樓,坡道平面車位,1886,9446LK,https://res.sinyi.com.tw/buy/9446LK/smallimg/A.JPG
中山醫鳳止高梧大２房２衛鳳止高梧,台中市南區德富路,10.0年,大樓,45.64,25.63,2房2廳2衛,4樓/15樓,坡道平面車位,2088,1736CM,https://res.sinyi.com.tw/buy/1736CM/smallimg/A.JPG
全新未入住之［德芳苑］,台中市大里區新芳路,0.4年,大樓,44.93,24.58,2房2廳2衛,2樓/11樓,坡道機械車位,1698,2055VR,https://res.sinyi.com.tw/buy/2055VR/smallimg/A.JPG
降價四房朝南高樓附雙車位,台中市東區東英十七街,4.2年,大樓,64.29,29.71,4房2廳2衛,23樓/24樓,兩個以上車位,2298,2861HQ,https://res.sinyi.com.tw/buy/2861HQ/smallimg/A.JPG
千鳥格２房平面車位美裝潢千鳥格,台中市南屯區益昌五街,7.2年,華廈,33.96,13.95,2房2廳1衛,8樓/9樓,坡道平面車位,1760,3273UX,https://res.sinyi.com.tw/buy/3273UX/smallimg/A.JPG
強案！華園四房＋車位,台中市南區復興路三段,31.1年,大樓,44.38,29.89,4房2廳2衛,13樓/15樓,坡道機械車位,1198,3393FF,https://res.sinyi.com.tw/buy/3393FF/smallimg/A.JPG
首購必看低公設比明亮三房,台中市北屯區綏遠路二段,38.6年,公寓,28.81,23.72,3房2廳2衛,4樓/5樓,無車位,698,4745YH,https://res.sinyi.com.tw/buy/4745YH/smallimg/A.JPG
★七期市政１號院二房平車市政1號院,台中市西屯區市政路,1.2年,大樓,36.3,17.3,2房2廳1衛,18樓/31樓,坡道平面車位,1798,4896UQ,https://res.sinyi.com.tw/buy/4896UQ/smallimg/A.JPG
沙鹿致富時上兩房平車,台中市沙鹿區福成路,6.8年,華廈,36.6,17.39,2房2廳1衛,5樓/10樓,坡道平面車位,1080,7084HV,https://res.sinyi.com.tw/buy/7084HV/smallimg/A.JPG
順天景美朝南樹梢四房平車順天景美,台中市北屯區松竹三路,3.9年,大樓,56.37,30.98,4房2廳2衛,2樓/17樓,坡道平面車位,2198,7533TL,https://res.sinyi.com.tw/buy/7533TL/smallimg/A.JPG
新降價精銳稀有三房雙車位精銳FUN未來,台中市西屯區寶慶街,5.1年,大樓,53.45,22.92,3房2廳2衛,23樓/23樓,兩個以上車位,3088,7633YH,https://res.sinyi.com.tw/buy/7633YH/smallimg/A.JPG
✩急黎明觀邸高樓精裝雙車佳茂黎明觀邸,台中市南屯區黎明路一段,4.3年,大樓,66.74,33.05,3房2廳2衛,13樓/15樓,兩個以上車位,3988,8144WR,https://res.sinyi.com.tw/buy/8144WR/smallimg/A.JPG
益民商圈３房,台中市大里區文隆街,34.0年,華廈,28.75,21.53,3房2廳2衛,6樓/7樓,無車位,698,8980XQ,https://res.sinyi.com.tw/buy/8980XQ/smallimg/A.JPG
專任首席四房附雙車位順天首席,台中市南屯區大業路,21.1年,大樓,74.22,42.83,4房2廳2衛,5樓/14樓,兩個以上車位,3355,9058JT,https://res.sinyi.com.tw/buy/9058JT/smallimg/A.JPG
★七期一層一戶頂樓三房車國雄領域,台中市西屯區臺灣大道三段,13.3年,大樓,105.81,55.09,3房2廳3衛,24樓/24樓,兩個以上車位,5800,9223RK,https://res.sinyi.com.tw/buy/9223RK/smallimg/A.JPG
上城近捷運裝潢美宅興富發上城,台中市西屯區臺灣大道三段,20.1年,大樓,33.51,23.24,2房2廳2衛,11樓/22樓,無車位,1480,0542VN,https://res.sinyi.com.tw/buy/0542VN/smallimg/A.JPG
惠宇面公園近捷運稀有釋出惠宇豐閣,台中市南屯區豐富路,17.5年,大樓,56.75,32.14,2房2廳2衛,10樓/15樓,坡道平面車位,2688,1582JH,https://res.sinyi.com.tw/buy/1582JH/smallimg/A.JPG
［中山醫］大三房平車鼎泰鑫-聚,台中市南區建國南路一段,7.9年,大樓,50.77,28.26,3房2廳2衛,8樓/12樓,坡道平面車位,1880,1833CH,https://res.sinyi.com.tw/buy/1833CH/smallimg/A.JPG
