標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號
【推薦】美堤遼闊視野景觀大直美堤花園-A...,台北市中山區敬業三路,25.3年,大樓,47.1,26.01,3房2廳2衛,12樓/12樓,坡道平面車位,3380,6056SC
信義財經１０１世貿大樓信義財經大廈,台北市信義區信義路四段,35.3年,辦公/大樓,47.88,42.15,2房1廳1衛,9樓/11樓,無車位,5000,4401TX
敦北南京臨路小巨蛋旁店面,台北市松山區南京東路四段,0.8年,店面,18.39,13.44,1廳1衛,1樓/15樓,無車位,5600,5004QJ
✿誠售中正紀念堂捷運宅✿,台北市中正區羅斯福路一段,42.8年,大樓/套房,13.21,9.69,1房1廳1衛,6樓/12樓,無車位,1685,7878TR
經貿精美捷運兩房鉑金苑,台北市南港區經貿二路,11.0年,華廈,35.72,21.38,2房2廳1衛,2樓/10樓,塔式車位,3688,2901XY
昇陽麗芙雙車位昇陽麗芙,台北市北投區同德街,20.6年,華廈,85.57,39.1,3房2廳2衛1室,6樓/7樓,兩個以上車位,5300,8858TQ
鄉林左岸質感三房車位鄉林左岸,台北市士林區延平北路六段,9.4年,大樓,58.38,29.96,3房2廳2衛,3樓/11樓,坡道平面車位,4188,0200JR
翠山村外翠山綠意公寓,台北市士林區翠山街,49.8年,公寓,31.38,31.38,4房2廳3衛(含加蓋1衛),1樓/4樓,無車位,1978,6662ZP
雙捷運。康和御花園。四房康和御花園,台北市大安區和平東路三段,39.6年,大樓,44.13,36.1,4房2廳2衛,4樓/12樓,無車位,3498,9937HS
天母中心★邊間電梯四房僑福園,台北市士林區天母西路,40.7年,華廈,50.3,42.9,4房2廳2衛1室,6樓/7樓,無車位,3470,2486XK
萬芳醫院便捷一樓,台北市文山區辛亥路五段,43.1年,公寓,31.85,27.48,3房2廳2衛,1樓/5樓,無車位,2358,3648WQ
內湖捷運電梯新裝潢２房友座新生活,台北市內湖區內湖路二段,20.0年,大樓,29.95,19.64,2房2廳1衛1室(含加蓋1廳),2樓/12樓,無車位,2680,7374CL
內湖捷運機能大兩房友座新生活,台北市內湖區內湖路二段,20.0年,大樓,32.86,21.59,2房2廳1衛1室(含加蓋1衛),2樓/12樓,無車位,2835,8026DH
敦南御所高樓豪邸敦南御所,台北市大安區敦化南路一段,5.1年,大樓,113.92,54.61,3房2廳3衛2室,21樓/23樓,兩個以上車位,18142,0932XW
台大文豪露台４房坡平車位,台北市大安區泰順街,27.3年,華廈,69.63,40.21,4房2廳3衛,9樓/9樓,坡道平面車位,7880,5247TX
中正★舞春秋精品三房車位舞春秋,台北市中正區廈門街,10.4年,大樓,40.86,21.86,3房2廳1.5衛1室,3樓/15樓,坡道機械車位,3988,5378HL
小巨蛋敦南邊間漂亮二房,台北市松山區南京東路四段,0.8年,大樓,28.47,19.57,2房2廳1衛,5樓/15樓,無車位,4200,7006WU
專任赫里翁毛胚好規劃,台北市內湖區文湖街,9.3年,辦公/大樓,129.04,55.63,1廳,3樓/14樓,兩個以上車位,7250,5867SH
基隆路店辦,台北市松山區基隆路一段,45.2年,店面/辦公/大樓,50.62,14.74,1廳1衛,1樓/12樓,無車位,5680,46560P
宜居台北興安國宅３房美宅興安國宅南棟,台北市中山區遼寧街,39.4年,大樓,29.64,23.23,3房2廳1衛,5樓/15樓,無車位,2990,6165XY
文山興隆次頂樓附車位興隆世家一期,台北市文山區福興路,19.1年,華廈,34.39,14.75,2房2廳1衛(含加蓋1廳),7樓/8樓,坡道平面車位,2080,3565AC
全新裝潢三民捷運套房泰無限,台北市松山區三民路,11.4年,大樓,21.3,9.82,1房1廳1衛,2樓/11樓,塔式車位,2150,8717MN
大降！皇鼎特區高樓豪邸皇鼎儷園,台北市士林區德行東路,19.6年,大樓,121.6,59.7,3房2廳2衛2室(含加蓋1室),8樓/12樓,兩個以上車位,7980,7792NJ
天母磺溪第一排綠景石濤庭,台北市北投區天母西路,39.6年,公寓,50.59,45.95,4房2廳2衛,2樓/5樓,無車位,5280,0247PC
樂群近未來捷運站四房車位樂群新城,台北市萬華區中華路二段,12.3年,大樓,62.52,38.74,4房2廳2衛,12樓/14樓,坡道平面車位,4980,2327DP
關渡捷運知行公園公寓,台北市北投區知行路,46.7年,公寓,32.07,32.08,3房2廳1衛,5樓/5樓,無車位,1280,8270ZG
太平洋月桂高樓景觀戶太平洋盛宴月桂區,台北市文山區興隆路二段,11.2年,大樓,46.88,27.33,1廳,13樓/13樓,塔式車位,3450,5122CB
專任★文德美妝電梯三房冠德景中樓(陽光...,台北市內湖區文德路,32.9年,華廈,38.64,28.69,3房2廳2衛,4樓/7樓,無車位,3265,7028WG
附中挑高高樓景觀美居成德菁選集,台北市大安區信義路三段,18.6年,大樓/套房,15.14,9.14,1房1廳1衛,11樓/14樓,無車位,2238,2680VW
知名建設三面採光方正二樓,台北市文山區福興路,45.0年,公寓,28.53,28.53,3房2廳2衛,2樓/5樓,無車位,1498,5701RD
南港綠意公園大空間,台北市南港區舊莊街一段,35.7年,公寓,26.02,23.9,3房2廳1衛,5樓/5樓,無車位,1380,4025WK
極上之湯捷運站前大套房極上之湯,台北市北投區光明路,20.6年,大樓,20.34,8.91,1房1廳1衛,4樓/14樓,塔式車位,1180,8742TV
雙子星電梯大兩房有陽台,台北市大同區延平北路一段,44.6年,大樓,30.52,24.84,2房2廳1衛,5樓/11樓,無車位,2488,5179KZ
龍城四房電梯平面車位龍城,台北市大同區民族西路,36.8年,華廈,51.8,42.32,4房2廳2衛,3樓/7樓,坡道平面車位,3888,3437QK
敦化國中旁１１米巷金店面敦化一品,台北市松山區敦化北路,39.8年,店面,44.07,34.71,1廳1衛4室,1樓/7樓,無車位,5500,4969JT
戀戀長安♣︎稀有店面釋出戀戀長安,台北市中山區長安東路二段,18.0年,店面,28.29,17.7,1廳1衛,1樓/15樓,無車位,4000,8280GJ
古亭匯邊間２房稀有釋出古亭匯,台北市中正區南昌路二段,5.0年,大樓,29.53,16.12,2房2廳1衛,4樓/14樓,無車位,4280,0046TF
宅在家自拍偶像劇美寓,台北市信義區松山路,53.8年,公寓,22.99,22.99,2房2廳1衛1室,4樓/4樓,無車位,2288,4789DH
