標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
斗門臨路建地,金門縣金沙鎮斗門劃測段,,土地,143.39,,,0樓/0樓,無車位,650,ZS196402HB,2025-10-02 20:19:04
金湖重劃區金店面B,金門縣金湖鎮市港三路,9.9年,店面,74.32,40.32,1廳1衛,1樓/0樓,無車位,2,XS126589HB,2025-10-02 20:19:04
金城市區電梯公寓,金門縣金城鎮浯江北堤路,26.0年,華廈,26.69,21.36,3房1廳2衛,7樓/7樓,無車位,888,YS125036HB,2025-10-02 20:19:04
安瀾國小旁建地,金門縣金沙鎮東店,,土地,609.56,,,0樓/0樓,無車位,1,XS128951HB,2025-10-02 20:19:04
后壟精美套房,金門縣金湖鎮后壟測,8.5年,其它,10.99,8.33,1房1衛,1樓/0樓,無車位,268,ZS196340HB,2025-10-02 20:19:04
金湖臨路美地,金門縣金湖鎮庵邊,,土地,207.52,,,0樓/0樓,無車位,1,XB07598GH,2025-10-02 20:19:04
城區景觀商辦A,金門縣金城鎮民生路,28.2年,大樓,59.61,45.83,1房1廳1衛,9樓/11樓,無車位,1,XS126203HB,2025-10-02 20:19:04
古寧頭南山路邊大農地,金門縣金寧鄉龍潭段,,土地,235.54,,,0樓/0樓,無車位,550,YS118731HB,2025-10-02 20:19:04
金寧大路邊一樓美寓,金門縣金寧鄉寧安四劃,10.3年,公寓,26.79,25.26,3房2廳2衛,1樓/0樓,無車位,888,ZS192101HB,2025-10-02 20:19:04
金沙太武山下美地,金門縣金沙鎮擎天段,,土地,318.93,,,0樓/0樓,無車位,150,ZS195319HB,2025-10-02 20:19:04
金閣會館兩房公寓,金門縣金湖鎮市港三路,9.9年,華廈,18.53,11.58,2房1廳1衛,4樓/0樓,無車位,560,XS128206HB,2025-10-02 20:19:04
西浦頭三房公寓,金門縣金寧鄉安西劃,10.4年,公寓,24.08,20.51,3房2廳2衛,3樓/0樓,無車位,580,ZS196487HB,2025-10-02 20:19:04
金寧鄉伯玉路農地B,金門縣金寧鄉中三劃測段,,土地,217.82,,,0樓/0樓,無車位,1,S2218761PA,2025-10-02 20:19:04
環西大路邊臨路農地,金門縣金寧鄉煙墩段,,土地,397.94,,,0樓/0樓,無車位,800,ZS193235HB,2025-10-02 20:19:04
寧劃段大農地,金門縣金寧鄉寧劃段,,土地,340.38,,,0樓/0樓,無車位,360,ZS193525HB,2025-10-02 20:19:04
夏墅臨路美農地,金門縣金城鎮延平段,,土地,273.39,,,0樓/0樓,無車位,960,ZS195332HB,2025-10-02 20:19:04
金門金沙都農,金門縣金沙鎮沙宅劃段,,土地,202.98,,,0樓/0樓,無車位,385,SB03997GH,2025-10-02 20:19:04
后盤山農地A,金門縣金寧鄉后盤山,,土地,187.07,,,0樓/0樓,無車位,200,XS114193HB,2025-10-02 20:19:04
金城全新海景三房電梯公寓,金門縣金城鎮新豐路,1.1年,華廈,29.1,25.28,3房1廳2衛,2樓/0樓,無車位,785,ZS192932HB,2025-10-02 20:19:04
北山播音站農地,金門縣金寧鄉寧古劃,,土地,151.25,,,0樓/0樓,無車位,150,XS103983HB,2025-10-02 20:19:13
料羅臨路配地,金門縣金湖鎮料羅段,,土地,147.57,,,0樓/0樓,無車位,118,ZS194267HB,2025-10-02 20:19:13
金沙高陽斗門段農地A,金門縣金沙鎮蔡厝劃測段,,土地,251.08,,,0樓/0樓,無車位,480,ZS196406HB,2025-10-02 20:19:13
金大後花園美地,金門縣金寧鄉寧湖三劃段,,土地,270.08,,,0樓/0樓,無車位,998,XS117995HB,2025-10-02 20:19:13
金鼎國小學區店面,金門縣金寧鄉盤山村測,7.5年,店面,10.92,10.33,1廳1衛,1樓/0樓,無車位,398,ZS195062HB,2025-10-02 20:19:13
莒光路稀有透天,金門縣金城鎮莒光路,19.5年,別墅/透天,50.09,50.09,4房2廳5衛,1-3樓/3樓,無車位,1,YS123128HB,2025-10-02 20:19:13
金城民族透天店面,金門縣金城鎮民族路,49.8年,別墅/透天,23.84,23.27,4房2廳2衛,1-2樓/0樓,無車位,1,ZS191274HB,2025-10-02 20:19:13
金寧三角窗大建地,金門縣金寧鄉昔果山,,土地,310.08,,,0樓/0樓,無車位,3,ZS191727HB,2025-10-02 20:19:13
小金門海景農地,金門縣烈嶼鄉楊厝測,,土地,101.67,,,0樓/0樓,無車位,98,ZS192878HB,2025-10-02 20:19:13
金城鎮西海路透天厝,金門縣金城鎮西海路三段,10.1年,別墅/透天,48.4,46.89,4房1廳5衛,0樓/3樓,無車位,1,S2212643PA,2025-10-02 20:19:13
金沙大馬路臨路農地,金門縣金沙鎮北九十劃段,,土地,200.25,,,0樓/0樓,無車位,588,ZS193207HB,2025-10-02 20:19:13
環島東路農地出售,金門縣金沙鎮沙溪一劃段,,土地,298.47,,,0樓/0樓,無車位,680,S2395199PA,2025-10-02 20:19:13
仁愛新村優質店面,金門縣金寧鄉仁愛,7.9年,其它,37.93,35.3,2房2廳2衛,1樓/0樓,無車位,1,ZS194324HB,2025-10-02 20:19:13
金寧安岐臨路農地,金門縣金寧鄉安岐,,土地,302.5,,,0樓/0樓,無車位,350,XS128774HB,2025-10-02 20:19:13
金城調查局臨路美農地,金門縣金城鎮前水頭,,土地,316.6,,,0樓/0樓,無車位,880,ZS193492HB,2025-10-02 20:19:13
金門金寧華廈店面,金門縣金寧鄉寧安四劃,10.3年,華廈,26.79,25.26,3房1廳2衛,1樓/3樓,無車位,988,CS160549HB,2025-10-02 20:19:13
烈嶼北環道181坪都計農地,金門縣烈嶼鄉烈濱劃測段,,土地,181.49,,,0樓/0樓,無車位,398,GS135757HB,2025-10-02 20:19:13
金湖建地,金門縣金湖鎮庵邊段,,土地,58.83,,,0樓/0樓,無車位,458,ZB06258GH,2025-10-02 20:19:13
環北瓊林大路邊農地,金門縣金寧鄉北四畫,,土地,197.53,,,0樓/0樓,無車位,730,YS118729HB,2025-10-02 20:19:13
下埔下2樓大公寓,金門縣金寧鄉下埔下,14.2年,公寓,39.84,37.67,4房2廳2衛,2樓/0樓,無車位,1,ZS190944HB,2025-10-02 20:19:13
北九十段臨路美農地,金門縣金沙鎮北九十劃段,,土地,149.87,,,0樓/0樓,無車位,208,ZS197165HB,2025-10-02 20:19:21
金寧湖南優質透天,金門縣金寧鄉寧安二劃,11.3年,別墅/透天,52.46,52.46,5房1廳5衛,1-3樓/0樓,無車位,1,ZS192480HB,2025-10-02 20:19:21
烈嶼蓮湖209坪都計農地,金門縣烈嶼鄉烈濱劃測段,,土地,209.93,,,0樓/0樓,無車位,468,GS135743HB,2025-10-02 20:19:21
金門大橋旁美農地,金門縣烈嶼鄉烈濱畫測,,土地,233.23,,,0樓/0樓,無車位,395,XS113075HB,2025-10-02 20:19:21
頂堡精美套房,金門縣金寧鄉下堡,11.9年,其它,9.57,6.9,1房1衛,2樓/0樓,無車位,258,XS127106HB,2025-10-02 20:19:21
金城金湯港旁美地,金門縣金城鎮大古崗,,土地,236.43,,,0樓/0樓,無車位,120,XS129521HB,2025-10-02 20:19:21
金寧昔果山土地,金門縣金寧鄉機場段,,土地,153.72,,,0樓/0樓,無車位,189,XS129631HB,2025-10-02 20:19:21
榜林名城旁農地,金門縣金寧鄉寧山段,,土地,315.41,,,0樓/0樓,無車位,690,YS120683HB,2025-10-02 20:19:21
民族路透天店面,金門縣金城鎮民族路,56.8年,店面,56.13,56.13,,1-3樓/0樓,無車位,2,YS97527HB,2025-10-02 20:19:21
伯玉新居三房公寓,金門縣金寧鄉伯玉路二段,29.4年,公寓,38.42,36.27,3房1廳1衛,3樓/0樓,無車位,528,ZS194352HB,2025-10-02 20:19:21
金城學區四房公寓,金門縣金城鎮莒光路,16.7年,公寓,19.69,18.25,4房2廳3衛,3樓/0樓,無車位,960,XS109579HB,2025-10-02 20:19:21
民權路店面透天,金門縣金城鎮民權路,59.2年,店面,51.4,51.4,4房2衛,1-3樓/0樓,無車位,2,ZS190783HB,2025-10-02 20:19:21
