標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
店長推薦★高鐵四房雙車位快樂弘揚,高雄市左營區文府路,27.8年,大樓,48.02,32.26,4房2廳2衛,14樓/14樓,兩個以上車位,1,1244QR,2025-10-01 15:19:21
台場町｜頂樓天境觀景戶台場町,高雄市前鎮區翠亨北路,18.0年,大樓,54.76,32.5,2房2廳2衛(含加蓋1房),18樓/18樓,坡道平面車位,1,0311BG,2025-10-01 15:19:21
輕軌靜謐境．平車宅輕軌線上,高雄市前鎮區武德街,9.1年,大樓,41.68,22.37,2房2廳2衛,2樓/15樓,坡道平面車位,1,6345ZL,2025-10-01 15:19:21
帝匯高樓精美四房平車帝匯,高雄市三民區褒揚東街,13.0年,大樓,58.31,33.71,4房2廳2衛,10樓/15樓,坡道平面車位,2,0690YY,2025-10-01 15:19:21
陽明亮麗採光美寓,高雄市三民區陽明路,44.7年,公寓,23.88,23.88,3房2廳2衛,5樓/5樓,無車位,438,7582UZ,2025-10-01 15:19:21
專．公教大樓．大四房,高雄市楠梓區楠梓路,30.9年,華廈,51.71,37.32,4房2廳2衛,7樓/7樓,無車位,818,7149NY,2025-10-01 15:19:21
福山面公園景觀三房車位茵茲堡B,高雄市左營區文慈路,30.1年,大樓,41.41,24.85,3房2廳2衛(含加蓋1廳),3樓/13樓,坡道機械車位,1,8510XY,2025-10-01 15:19:21
福懋美森園三房平車,高雄市三民區德勝街,0.7年,大樓,43.84,22.9,3房2廳2衛,6樓/15樓,坡道平面車位,1,1118UP,2025-10-01 15:19:30
必看仁武高樓景觀三房平車芭達雅大樓,高雄市仁武區仁雄路,21.3年,大樓,41.48,25.16,3房2廳2衛,10樓/13樓,坡道平面車位,1,2040ZQ,2025-10-01 15:19:30
陽明商圈永信建設三房平車卡第亞,高雄市三民區義華路,24.5年,大樓,40.49,24.99,3房2廳2衛,3樓/14樓,坡道平面車位,1,5052TD,2025-10-01 15:19:30
美術白天鵝高樓景觀美術白天鵝,高雄市鼓山區美術東四路,2.0年,大樓,38.28,20.23,1房2廳2衛,24樓/24樓,坡道平面車位,1,7801KM,2025-10-01 15:19:30
中都映象｜綠海精裝美邸樹禾苑,高雄市三民區美都路,2.2年,大樓,44.94,23.22,2房2廳2衛,16樓/24樓,坡道平面車位,1,9100MD,2025-10-01 15:19:30
大東棋琴文化苑三房平車棋琴文化苑,高雄市鳳山區光遠路,12.3年,大樓,50.65,26.9,3房2廳2衛,12樓/15樓,坡道平面車位,1,8547HX,2025-10-01 15:19:30
綠園道高樓採光美三房車位寧靜海,高雄市三民區九如一路,31.4年,大樓,46.46,29.06,3房2廳2衛,14樓/16樓,坡道機械車位,1,7864WT,2025-10-01 15:19:30
多城市－邊間美裝三房車位,高雄市仁武區北屋北街,2.7年,大樓,41.7,24.27,3房2廳2衛,2樓/15樓,坡道機械車位,1,9998QQ,2025-10-01 15:19:30
亞灣雙面採光兩房車位華尚Star,高雄市苓雅區四維四路,4.1年,大樓,32.44,19.52,2房2廳1衛,4樓/15樓,升降機械車位,1,8955GT,2025-10-01 15:19:30
鼎宇森風景首排未住過豪邸鼎宇森風景,高雄市橋頭區橋新一路,5.6年,大樓,107.31,57.17,3房2廳3衛,3樓/24樓,兩個以上車位,3,0061ZL,2025-10-01 15:19:30
龍騰鑫市鎮三房平車鑫市鎮,高雄市橋頭區經武路,4.7年,大樓,35.54,17.15,3房2廳2衛,13樓/15樓,坡道平面車位,1,7988RJ,2025-10-01 15:19:30
愛河雄女大三房頂洲建設,高雄市前金區五福三路,31.7年,大樓,32.5,26.85,3房2廳2衛,10樓/12樓,無車位,850,3223UF,2025-10-01 15:19:30
時代爵邸景觀邊間三房平車時代爵邸公爵區,高雄市左營區榮總路,27.3年,大樓,39.58,25.38,3房2廳2衛,10樓/14樓,坡道平面車位,1,5537DM,2025-10-01 15:19:30
面校園綠景２房＋１室車位,高雄市三民區金山路,2.5年,華廈,29.7,21.18,2房1廳2衛1室,2樓/5樓,其他,1,5540LS,2025-10-01 15:19:30
近獅甲捷運站裝潢２房車位心夢享,高雄市前鎮區景德路,8.6年,華廈,29.72,13.4,2房2廳1衛,2樓/9樓,升降平面車位,938,4239QS,2025-10-01 15:19:30
