縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,南投市,中古屋,29784.49,79,105年第四季
南投縣,南投市,新成屋,55210.0,18,105年第四季
南投縣,名間鄉,中古屋,18649.45,11,105年第四季
南投縣,國姓鄉,中古屋,26940.5,4,105年第四季
南投縣,埔里鎮,中古屋,30458.7,69,105年第四季
南投縣,埔里鎮,新成屋,64052.0,1,105年第四季
南投縣,水里鄉,中古屋,36238.5,2,105年第四季
南投縣,竹山鎮,中古屋,20481.53,36,105年第四季
南投縣,竹山鎮,新成屋,39064.14,7,105年第四季
南投縣,草屯鎮,中古屋,32130.06,69,105年第四季
南投縣,草屯鎮,新成屋,53897.17,12,105年第四季
南投縣,集集鎮,中古屋,34778.6,5,105年第四季
南投縣,魚池鄉,中古屋,34342.5,2,105年第四季
南投縣,鹿谷鄉,中古屋,26806.0,4,105年第四季
台中市,中區,中古屋,31285.87,15,105年第四季
台中市,北區,中古屋,45379.97,868,105年第四季
台中市,北區,新成屋,66885.85,40,105年第四季
台中市,北屯區,中古屋,48004.43,1055,105年第四季
台中市,北屯區,新成屋,58090.34,597,105年第四季
台中市,南區,中古屋,37455.73,747,105年第四季
台中市,南區,新成屋,67730.74,256,105年第四季
台中市,南屯區,中古屋,53166.22,647,105年第四季
台中市,南屯區,新成屋,75916.33,208,105年第四季
台中市,后里區,中古屋,55058.17,12,105年第四季
台中市,后里區,新成屋,53889.0,5,105年第四季
台中市,外埔區,中古屋,42829.12,8,105年第四季
台中市,外埔區,新成屋,41542.0,1,105年第四季
台中市,大甲區,中古屋,43387.2,35,105年第四季
台中市,大甲區,新成屋,53620.0,10,105年第四季
台中市,大肚區,中古屋,33970.25,32,105年第四季
台中市,大肚區,新成屋,50209.87,15,105年第四季
台中市,大里區,中古屋,42494.86,293,105年第四季
台中市,大里區,新成屋,58507.1,62,105年第四季
台中市,大雅區,中古屋,35829.33,113,105年第四季
台中市,大雅區,新成屋,64451.85,46,105年第四季
台中市,太平區,中古屋,40234.38,352,105年第四季
台中市,太平區,新成屋,56604.8,220,105年第四季
台中市,新社區,中古屋,36023.0,1,105年第四季
台中市,新社區,新成屋,53031.0,1,105年第四季
台中市,東勢區,中古屋,29356.94,31,105年第四季
台中市,東勢區,新成屋,50826.75,4,105年第四季
台中市,東區,中古屋,38763.55,162,105年第四季
台中市,東區,新成屋,59660.85,185,105年第四季
台中市,梧棲區,中古屋,29629.52,48,105年第四季
台中市,梧棲區,新成屋,48732.81,31,105年第四季
台中市,沙鹿區,中古屋,46428.58,107,105年第四季
台中市,沙鹿區,新成屋,57752.24,182,105年第四季
台中市,清水區,中古屋,29632.82,66,105年第四季
台中市,清水區,新成屋,41744.62,74,105年第四季
台中市,潭子區,中古屋,42535.07,241,105年第四季
台中市,潭子區,新成屋,56510.78,23,105年第四季
台中市,烏日區,中古屋,37069.93,82,105年第四季
台中市,烏日區,新成屋,50980.66,106,105年第四季
台中市,石岡區,中古屋,44337.0,1,105年第四季
台中市,神岡區,中古屋,39931.34,29,105年第四季
台中市,西區,中古屋,47284.9,655,105年第四季
台中市,西區,新成屋,80573.75,65,105年第四季
台中市,西屯區,中古屋,52921.23,1289,105年第四季
台中市,西屯區,新成屋,67436.29,262,105年第四季
台中市,豐原區,中古屋,45232.7,171,105年第四季
台中市,豐原區,新成屋,72688.9,31,105年第四季
台中市,霧峰區,中古屋,39712.34,35,105年第四季
台中市,霧峰區,新成屋,78818.0,3,105年第四季
台中市,龍井區,中古屋,38306.07,115,105年第四季
台中市,龍井區,新成屋,47846.42,43,105年第四季
台北市,中山區,中古屋,107391.41,568,105年第四季
台北市,中山區,新成屋,177408.62,95,105年第四季
台北市,中正區,中古屋,131118.36,270,105年第四季
台北市,中正區,新成屋,227407.44,72,105年第四季
台北市,信義區,中古屋,129684.72,415,105年第四季
台北市,信義區,新成屋,112008.94,33,105年第四季
台北市,內湖區,中古屋,120929.85,920,105年第四季
台北市,內湖區,新成屋,184951.64,261,105年第四季
台北市,北投區,中古屋,103157.7,556,105年第四季
台北市,北投區,新成屋,145130.91,163,105年第四季
台北市,南港區,中古屋,127863.97,231,105年第四季
台北市,南港區,新成屋,167930.92,145,105年第四季
台北市,士林區,中古屋,83742.41,664,105年第四季
台北市,士林區,新成屋,147657.38,89,105年第四季
台北市,大同區,中古屋,96061.46,87,105年第四季
台北市,大同區,新成屋,180651.79,19,105年第四季
台北市,大安區,中古屋,153444.37,561,105年第四季
台北市,大安區,新成屋,277169.26,89,105年第四季
台北市,文山區,中古屋,123463.97,675,105年第四季
台北市,文山區,新成屋,148029.15,233,105年第四季
台北市,松山區,中古屋,142686.52,406,105年第四季
台北市,松山區,新成屋,239703.34,105,105年第四季
台北市,萬華區,中古屋,108713.54,170,105年第四季
台北市,萬華區,新成屋,137102.89,38,105年第四季
台南市,下營區,中古屋,20541.0,4,105年第四季
台南市,下營區,新成屋,31692.0,1,105年第四季
台南市,中西區,中古屋,33798.38,141,105年第四季
台南市,中西區,新成屋,58562.38,21,105年第四季
台南市,仁德區,中古屋,31313.57,150,105年第四季
台南市,仁德區,新成屋,49652.96,45,105年第四季
台南市,佳里區,中古屋,26089.55,42,105年第四季
台南市,佳里區,新成屋,36589.14,14,105年第四季
台南市,六甲區,中古屋,29687.0,4,105年第四季
台南市,六甲區,新成屋,32863.0,1,105年第四季
台南市,北區,中古屋,38162.12,313,105年第四季
台南市,北區,新成屋,64650.86,28,105年第四季
台南市,南區,中古屋,36862.62,348,105年第四季
台南市,南區,新成屋,56105.03,29,105年第四季
台南市,善化區,中古屋,25716.04,45,105年第四季
台南市,善化區,新成屋,46759.13,46,105年第四季
台南市,大內區,中古屋,9242.0,1,105年第四季
台南市,學甲區,中古屋,11726.43,7,105年第四季
台南市,學甲區,新成屋,33626.2,15,105年第四季
台南市,安南區,中古屋,29374.21,275,105年第四季
台南市,安南區,新成屋,51602.25,126,105年第四季
台南市,安定區,中古屋,25829.0,1,105年第四季
台南市,安平區,中古屋,33075.39,325,105年第四季
台南市,安平區,新成屋,55298.15,66,105年第四季
台南市,官田區,中古屋,19330.0,6,105年第四季
台南市,官田區,新成屋,39833.0,11,105年第四季
台南市,將軍區,新成屋,34994.82,11,105年第四季
台南市,後壁區,中古屋,17246.0,2,105年第四季
台南市,新化區,中古屋,29638.41,22,105年第四季
台南市,新化區,新成屋,51794.0,1,105年第四季
台南市,新市區,中古屋,22491.72,18,105年第四季
台南市,新市區,新成屋,56796.12,16,105年第四季
台南市,新營區,中古屋,22685.56,135,105年第四季
台南市,新營區,新成屋,42990.4,20,105年第四季
台南市,東區,中古屋,39555.3,658,105年第四季
台南市,東區,新成屋,61456.79,63,105年第四季
台南市,東山區,中古屋,45818.0,2,105年第四季
台南市,柳營區,中古屋,21170.5,4,105年第四季
台南市,柳營區,新成屋,37711.0,2,105年第四季
台南市,楠西區,中古屋,19199.0,3,105年第四季
台南市,歸仁區,中古屋,29163.19,63,105年第四季
台南市,歸仁區,新成屋,47160.88,16,105年第四季
台南市,永康區,中古屋,32013.57,860,105年第四季
台南市,永康區,新成屋,52334.64,86,105年第四季
台南市,玉井區,中古屋,15141.5,4,105年第四季
台南市,白河區,中古屋,21969.21,14,105年第四季
台南市,西港區,中古屋,24582.22,9,105年第四季
台南市,西港區,新成屋,36400.0,1,105年第四季
台南市,關廟區,中古屋,24166.0,1,105年第四季
台南市,關廟區,新成屋,42088.0,4,105年第四季
台南市,鹽水區,中古屋,15252.0,37,105年第四季
台南市,鹽水區,新成屋,37156.0,1,105年第四季
台南市,麻豆區,中古屋,32758.91,22,105年第四季
台南市,麻豆區,新成屋,52683.25,8,105年第四季
台東縣,台東市,中古屋,33856.94,270,105年第四季
台東縣,台東市,新成屋,48966.78,9,105年第四季
台東縣,成功鎮,中古屋,24658.67,6,105年第四季
台東縣,關山鎮,中古屋,22029.33,3,105年第四季
嘉義市,嘉義市,中古屋,30300.08,735,105年第四季
嘉義市,嘉義市,新成屋,61220.21,39,105年第四季
嘉義縣,中埔鄉,中古屋,23662.06,17,105年第四季
嘉義縣,大林鎮,中古屋,20430.58,19,105年第四季
