縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,34935,1,113年第一季
南投縣,南投市,中古屋,44247.59,100,113年第一季
南投縣,南投市,新成屋,76221.71,21,113年第一季
南投縣,名間鄉,中古屋,44889.33,3,113年第一季
南投縣,國姓鄉,中古屋,49290.5,2,113年第一季
南投縣,國姓鄉,新成屋,48408,1,113年第一季
南投縣,埔里鎮,中古屋,50594.94,62,113年第一季
南投縣,埔里鎮,新成屋,83223.75,4,113年第一季
南投縣,水里鄉,中古屋,28820,1,113年第一季
南投縣,水里鄉,新成屋,57612.5,2,113年第一季
南投縣,竹山鎮,中古屋,38688.02,44,113年第一季
南投縣,竹山鎮,新成屋,44983.2,15,113年第一季
南投縣,草屯鎮,中古屋,46202.12,97,113年第一季
南投縣,草屯鎮,新成屋,90406.81,31,113年第一季
南投縣,集集鎮,中古屋,26606,3,113年第一季
南投縣,集集鎮,新成屋,56469.5,2,113年第一季
南投縣,鹿谷鄉,中古屋,61319,4,113年第一季
南投縣,鹿谷鄉,新成屋,79824.33,6,113年第一季
台中市,北區,中古屋,66151.64,1024,113年第一季
台中市,北區,新成屋,81477.88,25,113年第一季
台中市,北屯區,中古屋,72782.97,1943,113年第一季
台中市,北屯區,新成屋,94940.91,384,113年第一季
台中市,南區,中古屋,74273.68,858,113年第一季
台中市,南區,新成屋,90318.62,47,113年第一季
台中市,南屯區,中古屋,87632.45,1108,113年第一季
台中市,南屯區,新成屋,108944.1,175,113年第一季
台中市,后里區,中古屋,72010.41,22,113年第一季
台中市,后里區,新成屋,94883.67,3,113年第一季
台中市,外埔區,中古屋,45860.17,6,113年第一季
台中市,大安區,中古屋,40648,1,113年第一季
台中市,大甲區,中古屋,51541.22,41,113年第一季
台中市,大甲區,新成屋,71724.36,11,113年第一季
台中市,大肚區,中古屋,52732.58,38,113年第一季
台中市,大里區,中古屋,64451.89,399,113年第一季
台中市,大里區,新成屋,77619.28,58,113年第一季
