縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,12311.0,4,102年第二季
南投縣,南投市,中古屋,25397.43,92,102年第二季
南投縣,南投市,新成屋,59976.83,6,102年第二季
南投縣,名間鄉,中古屋,25238.25,4,102年第二季
南投縣,國姓鄉,中古屋,20242.67,3,102年第二季
南投縣,埔里鎮,中古屋,27769.09,81,102年第二季
南投縣,埔里鎮,新成屋,3042.0,1,102年第二季
南投縣,水里鄉,中古屋,25616.44,9,102年第二季
南投縣,竹山鎮,中古屋,19929.63,30,102年第二季
南投縣,竹山鎮,新成屋,34780.0,1,102年第二季
南投縣,草屯鎮,中古屋,23079.2,105,102年第二季
南投縣,草屯鎮,新成屋,60058.57,7,102年第二季
南投縣,集集鎮,中古屋,22117.29,7,102年第二季
南投縣,鹿谷鄉,中古屋,21334.5,4,102年第二季
台中市,中區,中古屋,24565.93,29,102年第二季
台中市,北區,中古屋,42916.44,1322,102年第二季
台中市,北區,新成屋,23429.58,222,102年第二季
台中市,北屯區,中古屋,35981.94,1561,102年第二季
台中市,北屯區,新成屋,54825.22,265,102年第二季
台中市,南區,中古屋,34555.18,810,102年第二季
台中市,南區,新成屋,50820.19,195,102年第二季
台中市,南屯區,中古屋,47858.97,936,102年第二季
台中市,南屯區,新成屋,68729.99,212,102年第二季
台中市,后里區,中古屋,43309.52,23,102年第二季
台中市,后里區,新成屋,47330.25,4,102年第二季
台中市,外埔區,中古屋,23930.0,12,102年第二季
台中市,外埔區,新成屋,34439.0,3,102年第二季
台中市,大安區,中古屋,14247.0,2,102年第二季
台中市,大甲區,中古屋,34812.87,31,102年第二季
台中市,大甲區,新成屋,41401.4,5,102年第二季
台中市,大肚區,中古屋,22279.07,56,102年第二季
台中市,大肚區,新成屋,29533.8,5,102年第二季
台中市,大里區,中古屋,35415.26,461,102年第二季
台中市,大里區,新成屋,50656.9,48,102年第二季
台中市,大雅區,中古屋,36500.05,111,102年第二季
台中市,大雅區,新成屋,51971.43,7,102年第二季
台中市,太平區,中古屋,29929.76,489,102年第二季
