縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,23635.67,3,110年第一季
南投縣,南投市,中古屋,46434.69,85,110年第一季
南投縣,南投市,新成屋,81143.94,36,110年第一季
南投縣,名間鄉,中古屋,31936.92,13,110年第一季
南投縣,名間鄉,新成屋,59254.25,4,110年第一季
南投縣,國姓鄉,中古屋,34947.67,3,110年第一季
南投縣,埔里鎮,中古屋,47242.32,60,110年第一季
南投縣,埔里鎮,新成屋,60456.33,3,110年第一季
南投縣,水里鄉,中古屋,35926.0,4,110年第一季
南投縣,水里鄉,新成屋,58313.0,2,110年第一季
南投縣,竹山鎮,中古屋,25755.46,50,110年第一季
南投縣,竹山鎮,新成屋,45624.13,15,110年第一季
南投縣,草屯鎮,中古屋,44804.55,85,110年第一季
南投縣,草屯鎮,新成屋,58874.69,13,110年第一季
南投縣,集集鎮,中古屋,42005.0,3,110年第一季
南投縣,魚池鄉,中古屋,70638.0,1,110年第一季
南投縣,鹿谷鄉,中古屋,36219.5,4,110年第一季
台中市,中區,中古屋,153.67,3,110年第一季
台中市,北區,中古屋,55458.54,1091,110年第一季
台中市,北區,新成屋,73846.95,78,110年第一季
台中市,北屯區,中古屋,56217.43,1698,110年第一季
台中市,北屯區,新成屋,68355.25,328,110年第一季
台中市,南區,中古屋,56279.09,851,110年第一季
台中市,南區,新成屋,58666.85,88,110年第一季
台中市,南屯區,中古屋,64849.07,1135,110年第一季
台中市,南屯區,新成屋,96552.08,399,110年第一季
台中市,后里區,中古屋,76159.67,15,110年第一季
台中市,后里區,新成屋,83443.43,30,110年第一季
台中市,外埔區,中古屋,26209.38,8,110年第一季
台中市,外埔區,新成屋,51761.0,2,110年第一季
台中市,大安區,中古屋,49407.0,1,110年第一季
台中市,大甲區,中古屋,40737.68,41,110年第一季
台中市,大甲區,新成屋,51237.64,22,110年第一季
台中市,大肚區,中古屋,35179.57,54,110年第一季
台中市,大肚區,新成屋,65619.0,2,110年第一季
台中市,大里區,中古屋,54495.45,406,110年第一季
台中市,大里區,新成屋,66563.75,85,110年第一季
台中市,大雅區,中古屋,46308.45,173,110年第一季
台中市,大雅區,新成屋,65421.75,36,110年第一季
台中市,太平區,中古屋,51616.57,563,110年第一季
台中市,太平區,新成屋,67358.74,130,110年第一季
台中市,新社區,中古屋,26937.73,11,110年第一季
台中市,東勢區,中古屋,37843.17,36,110年第一季
台中市,東勢區,新成屋,52208.0,5,110年第一季
台中市,東區,中古屋,54830.67,178,110年第一季
台中市,東區,新成屋,67355.89,61,110年第一季
台中市,梧棲區,中古屋,36597.96,48,110年第一季
台中市,梧棲區,新成屋,50495.45,29,110年第一季
台中市,沙鹿區,中古屋,54964.07,211,110年第一季
台中市,沙鹿區,新成屋,69900.22,85,110年第一季
台中市,清水區,中古屋,37716.15,55,110年第一季
台中市,清水區,新成屋,56994.6,60,110年第一季
台中市,潭子區,中古屋,56931.77,270,110年第一季
台中市,潭子區,新成屋,74763.15,26,110年第一季
台中市,烏日區,中古屋,53044.51,209,110年第一季
台中市,烏日區,新成屋,46746.74,118,110年第一季
台中市,神岡區,中古屋,54834.42,31,110年第一季
台中市,神岡區,新成屋,72448.14,7,110年第一季
台中市,西區,中古屋,67210.44,851,110年第一季
台中市,西區,新成屋,81964.43,23,110年第一季
台中市,西屯區,中古屋,61625.18,1833,110年第一季
台中市,西屯區,新成屋,95699.49,196,110年第一季
台中市,豐原區,中古屋,55711.03,246,110年第一季
台中市,豐原區,新成屋,55492.55,77,110年第一季
台中市,霧峰區,中古屋,46413.0,18,110年第一季
台中市,龍井區,中古屋,45028.53,131,110年第一季
台中市,龍井區,新成屋,61202.3,43,110年第一季
台北市,中山區,中古屋,160296.31,946,110年第一季
台北市,中山區,新成屋,283782.41,243,110年第一季
台北市,中正區,中古屋,172074.69,377,110年第一季
台北市,中正區,新成屋,229041.64,100,110年第一季
台北市,信義區,中古屋,164914.67,646,110年第一季
台北市,信義區,新成屋,298199.47,88,110年第一季
台北市,內湖區,中古屋,157255.02,1373,110年第一季
台北市,內湖區,新成屋,209431.09,249,110年第一季
台北市,北投區,中古屋,117667.58,869,110年第一季
台北市,北投區,新成屋,165005.94,236,110年第一季
台北市,南港區,中古屋,162688.37,506,110年第一季
台北市,南港區,新成屋,141079.2,20,110年第一季
台北市,士林區,中古屋,156075.24,1038,110年第一季
台北市,士林區,新成屋,132549.53,153,110年第一季
台北市,大同區,中古屋,122693.07,190,110年第一季
台北市,大同區,新成屋,166432.41,56,110年第一季
台北市,大安區,中古屋,219808.37,773,110年第一季
台北市,大安區,新成屋,344094.2,137,110年第一季
台北市,文山區,中古屋,135269.73,872,110年第一季
台北市,文山區,新成屋,168195.01,271,110年第一季
台北市,松山區,中古屋,149582.83,549,110年第一季
台北市,松山區,新成屋,413351.43,49,110年第一季
台北市,萬華區,中古屋,95999.96,236,110年第一季
台北市,萬華區,新成屋,155406.62,80,110年第一季
台南市,下營區,中古屋,30978.25,4,110年第一季
台南市,下營區,新成屋,36201.25,4,110年第一季
台南市,中西區,中古屋,44134.61,158,110年第一季
台南市,中西區,新成屋,70026.33,156,110年第一季
台南市,仁德區,中古屋,37733.27,179,110年第一季
台南市,仁德區,新成屋,68626.84,55,110年第一季
台南市,佳里區,中古屋,37157.18,49,110年第一季
台南市,佳里區,新成屋,50763.55,11,110年第一季
台南市,六甲區,中古屋,21112.14,7,110年第一季
台南市,六甲區,新成屋,52340.0,3,110年第一季
台南市,北區,中古屋,40343.67,480,110年第一季
台南市,北區,新成屋,61594.42,69,110年第一季
台南市,北門區,中古屋,4989.0,1,110年第一季
台南市,南區,中古屋,38485.32,346,110年第一季
台南市,南區,新成屋,49402.7,74,110年第一季
台南市,善化區,中古屋,47572.71,78,110年第一季
