縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,29166.0,2,103年第四季
南投縣,南投市,中古屋,30770.65,95,103年第四季
南投縣,南投市,新成屋,50189.86,7,103年第四季
南投縣,名間鄉,中古屋,30571.25,4,103年第四季
南投縣,國姓鄉,中古屋,15291.33,3,103年第四季
南投縣,埔里鎮,中古屋,33778.34,110,103年第四季
南投縣,埔里鎮,新成屋,49184.67,3,103年第四季
南投縣,水里鄉,中古屋,13150.6,5,103年第四季
南投縣,水里鄉,新成屋,37894.0,1,103年第四季
南投縣,竹山鎮,中古屋,18426.29,41,103年第四季
南投縣,竹山鎮,新成屋,41257.5,2,103年第四季
南投縣,草屯鎮,中古屋,28241.35,98,103年第四季
南投縣,草屯鎮,新成屋,54848.94,18,103年第四季
南投縣,集集鎮,中古屋,26613.0,1,103年第四季
南投縣,集集鎮,新成屋,50535.0,2,103年第四季
南投縣,魚池鄉,中古屋,13716.0,1,103年第四季
南投縣,鹿谷鄉,中古屋,26806.0,3,103年第四季
台中市,中區,中古屋,27663.94,34,103年第四季
台中市,北區,中古屋,46038.63,1319,103年第四季
台中市,北區,新成屋,73492.75,36,103年第四季
台中市,北屯區,中古屋,47637.28,1325,103年第四季
台中市,北屯區,新成屋,64889.01,327,103年第四季
台中市,南區,中古屋,36326.16,1177,103年第四季
台中市,南區,新成屋,61867.77,150,103年第四季
台中市,南屯區,中古屋,60193.83,850,103年第四季
台中市,南屯區,新成屋,66694.94,171,103年第四季
台中市,后里區,中古屋,43496.19,21,103年第四季
台中市,后里區,新成屋,51184.6,5,103年第四季
台中市,外埔區,中古屋,38397.1,10,103年第四季
台中市,大甲區,中古屋,34651.31,55,103年第四季
台中市,大甲區,新成屋,41098.67,3,103年第四季
台中市,大肚區,中古屋,29154.98,42,103年第四季
台中市,大肚區,新成屋,43331.0,1,103年第四季
台中市,大里區,中古屋,38031.37,461,103年第四季
台中市,大里區,新成屋,76038.4,86,103年第四季
台中市,大雅區,中古屋,44882.65,167,103年第四季
