縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,19158.0,2,109年第三季
南投縣,南投市,中古屋,42238.83,127,109年第三季
南投縣,南投市,新成屋,56501.52,27,109年第三季
南投縣,名間鄉,中古屋,30300.57,7,109年第三季
南投縣,名間鄉,新成屋,58217.0,1,109年第三季
南投縣,國姓鄉,中古屋,31673.78,9,109年第三季
南投縣,國姓鄉,新成屋,58897.0,1,109年第三季
南投縣,埔里鎮,中古屋,39189.84,114,109年第三季
南投縣,埔里鎮,新成屋,57654.67,6,109年第三季
南投縣,水里鄉,中古屋,26181.11,9,109年第三季
南投縣,竹山鎮,中古屋,22096.62,50,109年第三季
南投縣,竹山鎮,新成屋,41584.05,20,109年第三季
南投縣,草屯鎮,中古屋,40262.28,114,109年第三季
南投縣,草屯鎮,新成屋,49792.06,34,109年第三季
南投縣,集集鎮,中古屋,43602.25,4,109年第三季
南投縣,集集鎮,新成屋,48375.0,1,109年第三季
南投縣,鹿谷鄉,中古屋,41833.8,5,109年第三季
台中市,中區,中古屋,46552.39,23,109年第三季
台中市,北區,中古屋,53141.47,1675,109年第三季
台中市,北區,新成屋,84468.45,119,109年第三季
台中市,北屯區,中古屋,56579.97,2455,109年第三季
台中市,北屯區,新成屋,65574.68,792,109年第三季
台中市,南區,中古屋,54678.51,1315,109年第三季
台中市,南區,新成屋,70630.53,186,109年第三季
台中市,南屯區,中古屋,63784.58,1445,109年第三季
台中市,南屯區,新成屋,91109.73,531,109年第三季
台中市,后里區,中古屋,66051.1,29,109年第三季
台中市,后里區,新成屋,62489.87,15,109年第三季
台中市,外埔區,中古屋,41067.5,4,109年第三季
台中市,外埔區,新成屋,48664.5,4,109年第三季
台中市,大甲區,中古屋,39985.98,57,109年第三季
台中市,大甲區,新成屋,51978.72,18,109年第三季
台中市,大肚區,中古屋,37447.13,53,109年第三季
台中市,大里區,中古屋,50612.86,585,109年第三季
台中市,大里區,新成屋,71652.86,171,109年第三季
台中市,大雅區,中古屋,50474.48,245,109年第三季
台中市,大雅區,新成屋,61307.55,22,109年第三季
台中市,太平區,中古屋,50997.3,769,109年第三季
台中市,太平區,新成屋,65641.55,225,109年第三季
台中市,新社區,中古屋,27431.88,8,109年第三季
台中市,東勢區,中古屋,37774.33,42,109年第三季
台中市,東勢區,新成屋,58301.5,14,109年第三季
台中市,東區,中古屋,52780.03,274,109年第三季
台中市,東區,新成屋,71831.37,99,109年第三季
台中市,梧棲區,中古屋,34895.5,88,109年第三季
台中市,梧棲區,新成屋,51647.92,64,109年第三季
台中市,沙鹿區,中古屋,53888.52,225,109年第三季
台中市,沙鹿區,新成屋,67076.35,176,109年第三季
台中市,清水區,中古屋,35392.0,49,109年第三季
台中市,清水區,新成屋,42659.45,82,109年第三季
台中市,潭子區,中古屋,53735.71,462,109年第三季
台中市,潭子區,新成屋,60589.86,35,109年第三季
台中市,烏日區,中古屋,49273.07,204,109年第三季
台中市,烏日區,新成屋,50828.55,152,109年第三季
台中市,神岡區,中古屋,42151.11,63,109年第三季
台中市,神岡區,新成屋,73237.33,18,109年第三季
台中市,西區,中古屋,57525.34,1075,109年第三季
台中市,西區,新成屋,104945.22,45,109年第三季
台中市,西屯區,中古屋,61518.82,2480,109年第三季
台中市,西屯區,新成屋,89173.62,281,109年第三季
台中市,豐原區,中古屋,52726.5,325,109年第三季
台中市,豐原區,新成屋,61424.68,73,109年第三季
台中市,霧峰區,中古屋,47043.03,31,109年第三季
台中市,霧峰區,新成屋,69098.0,1,109年第三季
台中市,龍井區,中古屋,42842.55,177,109年第三季
台中市,龍井區,新成屋,54690.27,22,109年第三季
台北市,中山區,中古屋,162611.19,985,109年第三季
台北市,中山區,新成屋,222654.76,107,109年第三季
台北市,中正區,中古屋,176088.82,371,109年第三季
台北市,中正區,新成屋,225008.21,140,109年第三季
台北市,信義區,中古屋,170061.09,853,109年第三季
台北市,信義區,新成屋,264415.4,124,109年第三季
台北市,內湖區,中古屋,142859.44,1794,109年第三季
台北市,內湖區,新成屋,206746.54,326,109年第三季
台北市,北投區,中古屋,115437.15,1183,109年第三季
台北市,北投區,新成屋,155227.4,293,109年第三季
台北市,南港區,中古屋,165864.73,606,109年第三季
台北市,南港區,新成屋,157483.28,53,109年第三季
台北市,士林區,中古屋,151320.41,1129,109年第三季
台北市,士林區,新成屋,211180.35,191,109年第三季
台北市,大同區,中古屋,129936.41,251,109年第三季
台北市,大同區,新成屋,194392.03,67,109年第三季
台北市,大安區,中古屋,202096.21,987,109年第三季
台北市,大安區,新成屋,329770.83,162,109年第三季
台北市,文山區,中古屋,126248.67,1479,109年第三季
台北市,文山區,新成屋,165178.71,396,109年第三季
台北市,松山區,中古屋,179469.38,708,109年第三季
台北市,松山區,新成屋,328539.35,34,109年第三季
台北市,萬華區,中古屋,107938.21,309,109年第三季
台北市,萬華區,新成屋,179967.94,142,109年第三季
台南市,下營區,中古屋,26141.4,5,109年第三季
台南市,下營區,新成屋,38221.0,3,109年第三季
台南市,中西區,中古屋,42009.51,260,109年第三季
台南市,中西區,新成屋,68320.18,148,109年第三季
台南市,仁德區,中古屋,34442.88,275,109年第三季
台南市,仁德區,新成屋,44602.12,26,109年第三季
台南市,佳里區,中古屋,31353.23,47,109年第三季
台南市,佳里區,新成屋,49732.12,17,109年第三季
台南市,六甲區,中古屋,28070.0,3,109年第三季
台南市,六甲區,新成屋,38316.0,1,109年第三季
台南市,北區,中古屋,43037.4,628,109年第三季
台南市,北區,新成屋,67986.11,72,109年第三季
台南市,南區,中古屋,34243.77,553,109年第三季
台南市,南區,新成屋,49400.84,109,109年第三季
台南市,善化區,中古屋,45885.3,84,109年第三季
台南市,善化區,新成屋,56031.33,81,109年第三季
台南市,大內區,中古屋,18043.5,2,109年第三季
台南市,學甲區,中古屋,20182.65,20,109年第三季
台南市,學甲區,新成屋,39572.36,14,109年第三季
台南市,安南區,中古屋,38212.78,514,109年第三季
台南市,安南區,新成屋,61683.68,201,109年第三季
台南市,安定區,中古屋,39818.0,5,109年第三季
台南市,安定區,新成屋,60915.6,5,109年第三季
台南市,安平區,中古屋,37800.95,545,109年第三季
台南市,安平區,新成屋,73232.4,167,109年第三季
台南市,官田區,中古屋,25693.43,7,109年第三季
台南市,官田區,新成屋,46508.7,10,109年第三季
台南市,將軍區,中古屋,9574.0,1,109年第三季
台南市,將軍區,新成屋,38471.75,4,109年第三季
台南市,山上區,中古屋,6956.0,1,109年第三季
台南市,後壁區,中古屋,24756.33,3,109年第三季
台南市,新化區,中古屋,28348.39,28,109年第三季
台南市,新化區,新成屋,47832.5,4,109年第三季
台南市,新市區,中古屋,32757.45,40,109年第三季
台南市,新市區,新成屋,51756.08,61,109年第三季
台南市,新營區,中古屋,31173.47,207,109年第三季
台南市,新營區,新成屋,48256.55,22,109年第三季
台南市,東區,中古屋,40665.42,1345,109年第三季
台南市,東區,新成屋,65186.27,298,109年第三季
台南市,東山區,中古屋,18071.43,7,109年第三季
台南市,東山區,新成屋,41869.0,1,109年第三季
台南市,柳營區,中古屋,14810.5,8,109年第三季
台南市,柳營區,新成屋,39428.0,4,109年第三季
台南市,楠西區,中古屋,32750.75,4,109年第三季
台南市,楠西區,新成屋,42113.33,3,109年第三季
台南市,歸仁區,中古屋,33152.42,107,109年第三季
台南市,歸仁區,新成屋,53439.29,17,109年第三季
台南市,永康區,中古屋,34357.91,1470,109年第三季
台南市,永康區,新成屋,58179.77,246,109年第三季
台南市,玉井區,中古屋,27097.0,1,109年第三季
台南市,玉井區,新成屋,40230.17,6,109年第三季
台南市,白河區,中古屋,33034.76,21,109年第三季
台南市,白河區,新成屋,36086.0,1,109年第三季
台南市,西港區,中古屋,21507.09,11,109年第三季
台南市,關廟區,中古屋,25886.6,15,109年第三季
台南市,關廟區,新成屋,46960.0,7,109年第三季
台南市,鹽水區,中古屋,19900.08,37,109年第三季
台南市,鹽水區,新成屋,46628.0,3,109年第三季
台南市,麻豆區,中古屋,26904.31,35,109年第三季
台南市,麻豆區,新成屋,51573.53,17,109年第三季
台東縣,台東市,中古屋,38069.64,444,109年第三季
台東縣,台東市,新成屋,53897.48,40,109年第三季
台東縣,大武鄉,中古屋,16946.67,3,109年第三季
台東縣,太麻里鄉,中古屋,42612.0,1,109年第三季
台東縣,成功鎮,中古屋,33894.6,5,109年第三季
台東縣,東河鄉,中古屋,37685.0,1,109年第三季
台東縣,池上鄉,中古屋,35277.0,3,109年第三季
台東縣,綠島鄉,中古屋,25690.0,2,109年第三季
台東縣,長濱鄉,中古屋,23062.0,1,109年第三季
台東縣,關山鎮,中古屋,26972.8,5,109年第三季
台東縣,鹿野鄉,中古屋,35020.0,1,109年第三季
嘉義市,嘉義市,中古屋,36452.57,1398,109年第三季
嘉義市,嘉義市,新成屋,57004.24,135,109年第三季
嘉義縣,中埔鄉,中古屋,45370.68,28,109年第三季
嘉義縣,大埔鄉,中古屋,21179.0,4,109年第三季
嘉義縣,大林鎮,中古屋,30359.44,18,109年第三季
嘉義縣,大林鎮,新成屋,52036.0,1,109年第三季
嘉義縣,太保市,中古屋,28323.79,66,109年第三季
嘉義縣,太保市,新成屋,25687.36,66,109年第三季
嘉義縣,布袋鎮,中古屋,18608.27,11,109年第三季
嘉義縣,新港鄉,中古屋,40941.25,8,109年第三季
嘉義縣,新港鄉,新成屋,64288.5,2,109年第三季
嘉義縣,朴子市,中古屋,26421.49,138,109年第三季
嘉義縣,朴子市,新成屋,57318.27,11,109年第三季
嘉義縣,梅山鄉,中古屋,25804.75,4,109年第三季
嘉義縣,梅山鄉,新成屋,39060.0,2,109年第三季
嘉義縣,民雄鄉,中古屋,28766.19,124,109年第三季
嘉義縣,民雄鄉,新成屋,45041.38,16,109年第三季
嘉義縣,水上鄉,中古屋,35995.27,11,109年第三季
嘉義縣,水上鄉,新成屋,43468.6,5,109年第三季
嘉義縣,溪口鄉,中古屋,23889.25,4,109年第三季
嘉義縣,番路鄉,中古屋,24139.59,63,109年第三季
嘉義縣,竹崎鄉,中古屋,36976.0,1,109年第三季
嘉義縣,竹崎鄉,新成屋,54448.67,3,109年第三季
嘉義縣,義竹鄉,中古屋,22810.67,3,109年第三季
嘉義縣,義竹鄉,新成屋,37821.0,5,109年第三季
基隆市,七堵區,中古屋,49021.13,206,109年第三季
基隆市,七堵區,新成屋,68091.26,65,109年第三季
基隆市,中山區,中古屋,38467.48,137,109年第三季
基隆市,中山區,新成屋,61488.0,8,109年第三季
基隆市,中正區,中古屋,35831.59,797,109年第三季
基隆市,中正區,新成屋,38917.92,106,109年第三季
基隆市,仁愛區,中古屋,44293.29,72,109年第三季
基隆市,信義區,中古屋,39941.55,423,109年第三季
基隆市,信義區,新成屋,60277.92,350,109年第三季
基隆市,安樂區,中古屋,39239.9,818,109年第三季
基隆市,安樂區,新成屋,75918.26,352,109年第三季
基隆市,暖暖區,中古屋,36992.49,472,109年第三季
基隆市,暖暖區,新成屋,60603.95,64,109年第三季
宜蘭縣,三星鄉,中古屋,43157.5,2,109年第三季
宜蘭縣,三星鄉,新成屋,40861.0,1,109年第三季
宜蘭縣,五結鄉,中古屋,49879.93,61,109年第三季
宜蘭縣,五結鄉,新成屋,61898.9,10,109年第三季
宜蘭縣,冬山鄉,中古屋,47683.93,28,109年第三季
宜蘭縣,冬山鄉,新成屋,46896.67,9,109年第三季
宜蘭縣,員山鄉,中古屋,34204.8,15,109年第三季
宜蘭縣,員山鄉,新成屋,46861.43,14,109年第三季
