縣市,行政區,113年第四季,113年第三季,113年第二季,113年第一季,112年第四季,112年第三季,112年第二季,112年第一季,111年第四季,111年第三季,111年第二季,111年第一季,110年第四季,110年第三季,110年第二季,110年第一季,109年第四季,109年第三季,109年第二季,109年第一季,108年第四季,108年第三季,108年第二季,108年第一季,107年第四季,107年第三季,107年第二季,107年第一季,106年第四季,106年第三季,106年第二季,106年第一季,105年第四季,105年第三季,105年第二季,105年第一季,104年第四季,104年第三季,104年第二季,104年第一季,103年第四季,103年第三季,103年第二季,103年第一季,102年第四季,102年第三季,102年第二季,102年第一季,101年第四季,101年第三季,101年第二季,101年第一季
新北市,林口區,136075,136075,136075,136075,132947,132947,132947,132947,127887,127887,127887,127887,124628,124628,124628,124628,121192,121192,121192,121192,115582,115582,115582,115582,110081,110081,110081,110081,106101,106101,106101,106101,103219,103219,103219,103219,100350,100350,100350,100350,97645,97645,97645,97645,94108,94108,94108,94108,89886,89886,89886,89886
新北市,深坑區,23636,23636,23636,23636,23689,23689,23689,23689,23528,23528,23528,23528,23646,23646,23646,23646,23723,23723,23723,23723,23725,23725,23725,23725,23634,23634,23634,23634,23660,23660,23660,23660,23683,23683,23683,23683,23594,23594,23594,23594,23636,23636,23636,23636,23622,23622,23622,23622,23569,23569,23569,23569
新北市,石碇區,7068,7068,7068,7068,7166,7166,7166,7166,7292,7292,7292,7292,7487,7487,7487,7487,7565,7565,7565,7565,7629,7629,7629,7629,7731,7731,7731,7731,7683,7683,7683,7683,7736,7736,7736,7736,7855,7855,7855,7855,7864,7864,7864,7864,7848,7848,7848,7848,7895,7895,7895,7895
新北市,坪林區,6324,6324,6324,6324,6446,6446,6446,6446,6553,6553,6553,6553,6619,6619,6619,6619,6703,6703,6703,6703,6689,6689,6689,6689,6612,6612,6612,6612,6528,6528,6528,6528,6538,6538,6538,6538,6490,6490,6490,6490,6455,6455,6455,6455,6460,6460,6460,6460,6483,6483,6483,6483
新北市,三芝區,22080,22080,22080,22080,22137,22137,22137,22137,22228,22228,22228,22228,22357,22357,22357,22357,22540,22540,22540,22540,22768,22768,22768,22768,22978,22978,22978,22978,23200,23200,23200,23200,23369,23369,23369,23369,23487,23487,23487,23487,23480,23480,23480,23480,23464,23464,23464,23464,23460,23460,23460,23460
新北市,石門區,10397,10397,10397,10397,10752,10752,10752,10752,10961,10961,10961,10961,11193,11193,11193,11193,11480,11480,11480,11480,11834,11834,11834,11834,12115,12115,12115,12115,12286,12286,12286,12286,12496,12496,12496,12496,12641,12641,12641,12641,12733,12733,12733,12733,12794,12794,12794,12794,12798,12798,12798,12798
新北市,八里區,42674,42674,42674,42674,41966,41966,41966,41966,40902,40902,40902,40902,40178,40178,40178,40178,39741,39741,39741,39741,39531,39531,39531,39531,38906,38906,38906,38906,38493,38493,38493,38493,38167,38167,38167,38167,37678,37678,37678,37678,37187,37187,37187,37187,36201,36201,36201,36201,35721,35721,35721,35721
新北市,平溪區,4049,4049,4049,4049,4134,4134,4134,4134,4268,4268,4268,4268,4333,4333,4333,4333,4424,4424,4424,4424,4546,4546,4546,4546,4666,4666,4666,4666,4719,4719,4719,4719,4778,4778,4778,4778,4874,4874,4874,4874,4954,4954,4954,4954,5002,5002,5002,5002,5109,5109,5109,5109
新北市,雙溪區,7686,7686,7686,7686,7915,7915,7915,7915,8102,8102,8102,8102,8235,8235,8235,8235,8468,8468,8468,8468,8665,8665,8665,8665,8860,8860,8860,8860,8939,8939,8939,8939,9074,9074,9074,9074,9245,9245,9245,9245,9450,9450,9450,9450,9412,9412,9412,9412,9465,9465,9465,9465
新北市,貢寮區,10719,10719,10719,10719,10981,10981,10981,10981,11260,11260,11260,11260,11534,11534,11534,11534,11782,11782,11782,11782,12033,12033,12033,12033,12301,12301,12301,12301,12552,12552,12552,12552,12706,12706,12706,12706,12860,12860,12860,12860,13115,13115,13115,13115,13306,13306,13306,13306,13412,13412,13412,13412
新北市,金山區,20059,20059,20059,20059,20366,20366,20366,20366,20577,20577,20577,20577,20844,20844,20844,20844,21127,21127,21127,21127,21396,21396,21396,21396,21774,21774,21774,21774,22015,22015,22015,22015,22207,22207,22207,22207,22260,22260,22260,22260,22400,22400,22400,22400,22392,22392,22392,22392,22486,22486,22486,22486
新北市,萬里區,20622,20622,20622,20622,20869,20869,20869,20869,21101,21101,21101,21101,21462,21462,21462,21462,21710,21710,21710,21710,21872,21872,21872,21872,22068,22068,22068,22068,22296,22296,22296,22296,22490,22490,22490,22490,22642,22642,22642,22642,22678,22678,22678,22678,22618,22618,22618,22618,22429,22429,22429,22429
新北市,烏來區,6309,6309,6309,6309,6360,6360,6360,6360,6359,6359,6359,6359,6391,6391,6391,6391,6416,6416,6416,6416,6433,6433,6433,6433,6438,6438,6438,6438,6320,6320,6320,6320,6212,6212,6212,6212,6187,6187,6187,6187,6165,6165,6165,6165,6036,6036,6036,6036,5975,5975,5975,5975
台北市,台北市,2490869,2490869,2490869,2490869,2511886,2511886,2511886,2511886,2480681,2480681,2480681,2480681,2524393,2524393,2524393,2524393,2602418,2602418,2602418,2602418,2645041,2645041,2645041,2645041,2668572,2668572,2668572,2668572,2683257,2683257,2683257,2683257,2695704,2695704,2695704,2695704,2704810,2704810,2704810,2704810,2702315,2702315,2702315,2702315,2686516,2686516,2686516,2686516,2673226,2673226,2673226,2673226
台北市,松山區,191826,191826,191826,191826,193399,193399,193399,193399,189939,189939,189939,189939,193388,193388,193388,193388,200316,200316,200316,200316,204193,204193,204193,204193,205702,205702,205702,205702,206988,206988,206988,206988,208326,208326,208326,208326,209714,209714,209714,209714,210473,210473,210473,210473,210343,210343,210343,210343,210905,210905,210905,210905
台北市,信義區,205067,205067,205067,205067,206759,206759,206759,206759,203780,203780,203780,203780,207500,207500,207500,207500,215240,215240,215240,215240,220021,220021,220021,220021,223406,223406,223406,223406,225753,225753,225753,225753,227823,227823,227823,227823,229211,229211,229211,229211,229657,229657,229657,229657,228496,228496,228496,228496,227734,227734,227734,227734
