縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,13610.0,4,106年第三季
南投縣,南投市,中古屋,32036.41,76,106年第三季
南投縣,南投市,新成屋,59713.37,30,106年第三季
南投縣,名間鄉,中古屋,31596.8,5,106年第三季
南投縣,國姓鄉,中古屋,24120.5,4,106年第三季
南投縣,埔里鎮,中古屋,32285.93,75,106年第三季
南投縣,埔里鎮,新成屋,53327.0,6,106年第三季
南投縣,水里鄉,中古屋,16690.0,1,106年第三季
南投縣,竹山鎮,中古屋,25384.57,44,106年第三季
南投縣,竹山鎮,新成屋,39298.53,19,106年第三季
南投縣,草屯鎮,中古屋,33946.72,97,106年第三季
南投縣,草屯鎮,新成屋,54431.45,33,106年第三季
南投縣,集集鎮,新成屋,47549.0,1,106年第三季
南投縣,魚池鄉,中古屋,51328.5,2,106年第三季
南投縣,鹿谷鄉,中古屋,46284.25,4,106年第三季
台中市,中區,中古屋,32699.55,11,106年第三季
台中市,北區,中古屋,44244.72,1210,106年第三季
台中市,北區,新成屋,76701.82,84,106年第三季
台中市,北屯區,中古屋,47922.26,1249,106年第三季
台中市,北屯區,新成屋,60765.74,862,106年第三季
台中市,南區,中古屋,47023.02,746,106年第三季
台中市,南區,新成屋,71981.01,534,106年第三季
台中市,南屯區,中古屋,56934.72,919,106年第三季
台中市,南屯區,新成屋,73351.36,285,106年第三季
台中市,后里區,中古屋,49000.56,25,106年第三季
台中市,后里區,新成屋,50099.0,6,106年第三季
台中市,外埔區,中古屋,32399.6,5,106年第三季
台中市,外埔區,新成屋,45652.0,1,106年第三季
台中市,大甲區,中古屋,51769.43,28,106年第三季
台中市,大甲區,新成屋,50139.0,11,106年第三季
台中市,大肚區,中古屋,36670.96,49,106年第三季
台中市,大肚區,新成屋,43917.22,9,106年第三季
台中市,大里區,中古屋,44778.9,372,106年第三季
台中市,大里區,新成屋,64459.86,96,106年第三季
台中市,大雅區,中古屋,43697.68,128,106年第三季
台中市,大雅區,新成屋,61264.44,34,106年第三季
台中市,太平區,中古屋,41418.96,414,106年第三季
台中市,太平區,新成屋,57695.36,267,106年第三季
台中市,新社區,中古屋,35364.67,3,106年第三季
台中市,新社區,新成屋,52751.0,1,106年第三季
台中市,東勢區,中古屋,36951.15,33,106年第三季
台中市,東勢區,新成屋,54492.29,7,106年第三季
台中市,東區,中古屋,42063.74,196,106年第三季
台中市,東區,新成屋,55501.97,119,106年第三季
台中市,梧棲區,中古屋,30691.39,61,106年第三季
台中市,梧棲區,新成屋,50474.32,41,106年第三季
台中市,沙鹿區,中古屋,43323.29,163,106年第三季
台中市,沙鹿區,新成屋,57719.46,164,106年第三季
台中市,清水區,中古屋,28088.31,64,106年第三季
台中市,清水區,新成屋,49928.94,34,106年第三季
台中市,潭子區,中古屋,44862.09,310,106年第三季
台中市,潭子區,新成屋,58894.54,54,106年第三季
台中市,烏日區,中古屋,44228.29,65,106年第三季
台中市,烏日區,新成屋,53183.9,177,106年第三季
台中市,石岡區,中古屋,44902.0,1,106年第三季
台中市,神岡區,中古屋,44883.13,53,106年第三季
台中市,神岡區,新成屋,74696.88,8,106年第三季
台中市,西區,中古屋,45971.46,775,106年第三季
台中市,西區,新成屋,98839.02,62,106年第三季
台中市,西屯區,中古屋,54002.99,1616,106年第三季
台中市,西屯區,新成屋,68373.73,357,106年第三季
台中市,豐原區,中古屋,45569.66,274,106年第三季
台中市,豐原區,新成屋,70551.91,34,106年第三季
台中市,霧峰區,中古屋,41201.62,39,106年第三季
台中市,霧峰區,新成屋,90049.8,5,106年第三季
台中市,龍井區,中古屋,37562.24,154,106年第三季
台中市,龍井區,新成屋,55612.39,28,106年第三季
台北市,中山區,中古屋,144060.86,605,106年第三季
台北市,中山區,新成屋,194854.97,112,106年第三季
台北市,中正區,中古屋,154008.86,308,106年第三季
台北市,中正區,新成屋,129041.88,68,106年第三季
台北市,信義區,中古屋,129179.14,387,106年第三季
台北市,信義區,新成屋,177952.72,58,106年第三季
台北市,內湖區,中古屋,124103.84,1001,106年第三季
台北市,內湖區,新成屋,158968.12,235,106年第三季
台北市,北投區,中古屋,110941.88,583,106年第三季
台北市,北投區,新成屋,144547.85,309,106年第三季
台北市,南港區,中古屋,145817.88,260,106年第三季
台北市,南港區,新成屋,158555.03,180,106年第三季
台北市,士林區,中古屋,111573.25,799,106年第三季
台北市,士林區,新成屋,178713.06,107,106年第三季
台北市,大同區,中古屋,138206.68,121,106年第三季
台北市,大同區,新成屋,106182.12,41,106年第三季
台北市,大安區,中古屋,153547.04,661,106年第三季
台北市,大安區,新成屋,149760.13,62,106年第三季
台北市,文山區,中古屋,124264.02,632,106年第三季
台北市,文山區,新成屋,149966.34,214,106年第三季
台北市,松山區,中古屋,143418.75,395,106年第三季
台北市,松山區,新成屋,136871.82,11,106年第三季
台北市,萬華區,中古屋,109788.32,241,106年第三季
台北市,萬華區,新成屋,128293.64,47,106年第三季
台南市,下營區,中古屋,15766.33,3,106年第三季
台南市,下營區,新成屋,33619.0,9,106年第三季
台南市,中西區,中古屋,37199.26,197,106年第三季
台南市,中西區,新成屋,52777.29,34,106年第三季
台南市,仁德區,中古屋,36540.42,163,106年第三季
台南市,仁德區,新成屋,43141.58,53,106年第三季
台南市,佳里區,中古屋,24206.82,39,106年第三季
台南市,佳里區,新成屋,48280.0,21,106年第三季
台南市,六甲區,中古屋,22788.2,5,106年第三季
台南市,六甲區,新成屋,37881.0,1,106年第三季
台南市,北區,中古屋,40060.73,454,106年第三季
台南市,北區,新成屋,68632.97,29,106年第三季
台南市,北門區,中古屋,15937.0,1,106年第三季
台南市,南區,中古屋,35367.6,431,106年第三季
台南市,南區,新成屋,59011.45,42,106年第三季
台南市,善化區,中古屋,29354.64,50,106年第三季
台南市,善化區,新成屋,52049.07,54,106年第三季
台南市,大內區,中古屋,20750.0,2,106年第三季
台南市,學甲區,中古屋,19225.95,21,106年第三季
台南市,學甲區,新成屋,35841.0,5,106年第三季
台南市,安南區,中古屋,33531.38,346,106年第三季
台南市,安南區,新成屋,52741.28,127,106年第三季
台南市,安定區,中古屋,17715.5,2,106年第三季
台南市,安平區,中古屋,34019.89,351,106年第三季
台南市,安平區,新成屋,58180.35,108,106年第三季
台南市,官田區,中古屋,23951.82,11,106年第三季
台南市,官田區,新成屋,34755.0,2,106年第三季
台南市,將軍區,中古屋,31692.5,2,106年第三季
台南市,將軍區,新成屋,32946.75,4,106年第三季
台南市,山上區,中古屋,23817.0,1,106年第三季
台南市,山上區,新成屋,33287.27,11,106年第三季
台南市,後壁區,中古屋,15893.0,1,106年第三季
台南市,新化區,中古屋,26947.23,13,106年第三季
台南市,新化區,新成屋,49619.33,3,106年第三季
台南市,新市區,中古屋,32544.02,40,106年第三季
台南市,新市區,新成屋,50648.16,31,106年第三季
台南市,新營區,中古屋,25439.43,138,106年第三季
台南市,新營區,新成屋,40202.52,27,106年第三季
台南市,東區,中古屋,41210.16,742,106年第三季
台南市,東區,新成屋,69264.14,69,106年第三季
台南市,東山區,中古屋,21312.5,4,106年第三季
台南市,柳營區,中古屋,24638.33,3,106年第三季
台南市,柳營區,新成屋,35384.0,1,106年第三季
台南市,楠西區,中古屋,22727.0,1,106年第三季
台南市,楠西區,新成屋,30475.0,1,106年第三季
台南市,歸仁區,中古屋,31109.98,52,106年第三季
台南市,歸仁區,新成屋,42751.78,9,106年第三季
台南市,永康區,中古屋,32726.23,1043,106年第三季
台南市,永康區,新成屋,54167.86,100,106年第三季
台南市,玉井區,中古屋,15630.0,8,106年第三季
台南市,玉井區,新成屋,32116.75,4,106年第三季
台南市,白河區,中古屋,29282.35,17,106年第三季
台南市,白河區,新成屋,43167.0,1,106年第三季
台南市,西港區,中古屋,20429.0,17,106年第三季
台南市,西港區,新成屋,40984.5,2,106年第三季
台南市,關廟區,中古屋,18696.82,11,106年第三季
台南市,鹽水區,中古屋,17835.25,28,106年第三季
台南市,鹽水區,新成屋,36657.2,5,106年第三季
台南市,麻豆區,中古屋,30634.87,23,106年第三季
台南市,麻豆區,新成屋,50330.19,16,106年第三季
台東縣,卑南鄉,中古屋,16480.0,4,106年第三季
台東縣,台東市,中古屋,33247.35,410,106年第三季
台東縣,台東市,新成屋,41390.5,16,106年第三季
台東縣,大武鄉,中古屋,15534.33,3,106年第三季
台東縣,太麻里鄉,中古屋,18391.17,6,106年第三季
台東縣,成功鎮,中古屋,26977.5,2,106年第三季
台東縣,東河鄉,中古屋,94979.0,1,106年第三季
台東縣,東河鄉,新成屋,7784.0,1,106年第三季
台東縣,池上鄉,中古屋,33393.6,5,106年第三季
台東縣,關山鎮,中古屋,33198.0,3,106年第三季
嘉義市,嘉義市,中古屋,33412.89,984,106年第三季
嘉義市,嘉義市,新成屋,56663.84,95,106年第三季
嘉義縣,中埔鄉,中古屋,30829.96,28,106年第三季
嘉義縣,六腳鄉,中古屋,18270.5,2,106年第三季
嘉義縣,大林鎮,中古屋,29792.93,29,106年第三季
嘉義縣,大林鎮,新成屋,49954.15,27,106年第三季
嘉義縣,太保市,中古屋,26400.41,51,106年第三季
嘉義縣,太保市,新成屋,39161.33,15,106年第三季
嘉義縣,布袋鎮,中古屋,12785.15,13,106年第三季
嘉義縣,新港鄉,中古屋,24240.67,3,106年第三季
嘉義縣,新港鄉,新成屋,48219.0,1,106年第三季
嘉義縣,朴子市,中古屋,27816.18,66,106年第三季
嘉義縣,朴子市,新成屋,47995.5,8,106年第三季
嘉義縣,梅山鄉,中古屋,28338.5,6,106年第三季
嘉義縣,民雄鄉,中古屋,24365.61,76,106年第三季
嘉義縣,民雄鄉,新成屋,39709.16,19,106年第三季
嘉義縣,水上鄉,中古屋,25204.6,15,106年第三季
嘉義縣,水上鄉,新成屋,40689.5,2,106年第三季
嘉義縣,溪口鄉,中古屋,22597.0,2,106年第三季
嘉義縣,番路鄉,中古屋,25045.88,17,106年第三季
嘉義縣,竹崎鄉,中古屋,19198.0,2,106年第三季
嘉義縣,義竹鄉,中古屋,19826.0,2,106年第三季
嘉義縣,義竹鄉,新成屋,27356.0,1,106年第三季
嘉義縣,鹿草鄉,新成屋,34537.0,1,106年第三季
基隆市,七堵區,中古屋,50583.6,102,106年第三季
基隆市,七堵區,新成屋,64197.98,46,106年第三季
基隆市,中山區,中古屋,36440.08,72,106年第三季
基隆市,中正區,中古屋,34959.19,535,106年第三季
基隆市,中正區,新成屋,51529.84,38,106年第三季
基隆市,仁愛區,中古屋,45531.36,80,106年第三季
基隆市,信義區,中古屋,36078.98,245,106年第三季
基隆市,信義區,新成屋,74806.04,27,106年第三季
基隆市,安樂區,中古屋,38166.06,570,106年第三季
基隆市,安樂區,新成屋,72496.29,698,106年第三季
基隆市,暖暖區,中古屋,36356.93,256,106年第三季
基隆市,暖暖區,新成屋,52792.77,65,106年第三季
宜蘭縣,三星鄉,中古屋,38002.0,1,106年第三季
宜蘭縣,三星鄉,新成屋,34898.0,1,106年第三季
宜蘭縣,五結鄉,中古屋,43309.08,38,106年第三季
宜蘭縣,五結鄉,新成屋,60323.22,9,106年第三季
宜蘭縣,冬山鄉,中古屋,44955.39,23,106年第三季
宜蘭縣,冬山鄉,新成屋,65027.67,15,106年第三季
宜蘭縣,員山鄉,中古屋,30951.09,11,106年第三季
宜蘭縣,員山鄉,新成屋,54656.0,2,106年第三季
